fc,fr,fs,cr,cs,rs,fp,cp,rp,sp,label
-0.102133363,-0.110869323,0.29942301,-0.150391997,-0.06318641,0.263138204,-0.157288263,-0.085130175,0.644574492,-0.100194825,Locky
-0.099000979,-0.129543199,0.285886119,-0.14700095,-0.065041178,0.20842579,-0.138276094,-0.074536668,0.627002909,-0.08657458,Locky
-0.096098429,-0.203938438,-0.06467406,-0.132219919,-0.063165164,0.580619534,-0.175820042,-0.042994067,0.51589856,-0.120057991,Cerber
-0.051480068,0.29436065,-0.153545406,-0.140956544,-0.067986249,-0.055553115,-0.114295333,-0.071178283,0.405785074,-0.085964632,Reveton
-0.045171144,0.280052817,-0.155453375,-0.141215403,-0.067291769,-0.070555773,-0.117031953,-0.071148875,0.470348814,-0.0850344,Reveton
-0.106440412,-0.038722503,0.304606531,-0.150657221,-0.055994576,0.429404616,-0.16400667,-0.090489761,0.63501021,-0.107549907,Locky
0,-0.162438709,0,0,0,0,-0.079166372,0,0.371323064,0,Locky
-0.025914511,-0.12429524,-0.194490723,-0.12666518,0.16010053,-0.182372529,-0.085781595,-0.06232156,0.567582451,-0.153982887,TeslaCrypt
-0.106412995,-0.040513837,0.30455085,-0.150864242,-0.055829032,0.425551531,-0.163983844,-0.090485972,0.639960505,-0.107747393,Locky
-0.106205472,-0.079322442,0.292199911,-0.152763635,-0.058940262,0.361712959,-0.17029112,-0.09199528,0.659624237,-0.108965998,Locky
-0.101804837,-0.113358,0.297695283,-0.151602634,-0.063615135,0.258084654,-0.15757234,-0.085285117,0.649875378,-0.099380393,Locky
-0.030440617,-0.075700571,-0.092241758,-0.137873571,-0.062535461,-0.022882891,-0.107755901,-0.088861566,0.480873361,-0.074622709,Bengin
-0.105159671,-0.206216648,-0.072500222,-0.120569671,-0.06275468,0.59585969,-0.191907661,-0.033168241,0.568370693,-0.117812258,Cerber
-0.025889901,-0.124484884,-0.194912203,-0.126645724,0.161324358,-0.182473585,-0.085739565,-0.062322166,0.567991988,-0.15439946,TeslaCrypt
-0.096961484,-0.202036934,-0.066377109,-0.130121906,-0.062996307,0.600742768,-0.173085131,-0.04023497,0.550962451,-0.115688244,Cerber
-0.044342736,0.281556824,-0.155768711,-0.141381178,-0.067109519,-0.07325886,-0.116296115,-0.070713865,0.471814752,-0.084604387,Reveton
-0.053002528,0.294228452,-0.153225109,-0.141271232,-0.066711654,-0.042543505,-0.113491785,-0.071882798,0.389618418,-0.088190514,Reveton
-0.104885397,-0.105173704,0.284114345,-0.152409012,-0.062222124,0.305179774,-0.170179529,-0.092680085,0.681730433,-0.109189902,Locky
