FindNextFile,0,,ÐÐ¥é¥Ù¥ë,ºÏÓ‹ / 0
FindFirstFile,0,,accept,0
FindFirstFileEx,0,,bind,8673
SetFilePointer,2,,connect,5776
SetFilePointerEx,0,,CopyFile,0
GetFileSize,0,,CopyFileEx,0
GetFileSizeEx,0,,CreateProcessInternalW,12506
SetFileAttributes,0,,CreateRemoteThread,0
GetFileType,6,,CreateThread,29555
CopyFileEx,0,,CryptAcquireContext,0
CopyFile,0,,CryptAcquireContextW,5395
DeleteFile,0,,CryptDecodeObject,0
EncryptFile,0,,CryptDeriveKey,0
NtReadFile,615,,CryptGenKey,0
NtWriteFile,4,,CryptImportPublicKeyInfo,0
GetFileAttributes,0,,DeleteFile,0
GetFileAttributesEx,0,,EncryptFile,0
CryptDeriveKey,0,,FindFirstFile,0
CryptDecodeObject,0,,FindFirstFileEx,0
CryptGenKey,0,,FindNextFile,0
CryptImportPublicKeyInfo,0,,GetFileAttributes,0
CryptAcquireContext,0,,GetFileAttributesEx,0
CryptAcquireContextW,1,,GetFileSize,2203143
RegCloseKey,170,,GetFileSizeEx,65761
RegCreateKeyExW,0,,GetFileType,107314
RegDeleteKeyW,0,,InternetOpen,0
RegQueryValueExW,535,,InternetOpenUrl,0
RegSetValueExW,0,,InternetReadFile,27027
RegEnumKeyExA,0,,InternetWriteFile,5606
RegOpenKeyExW,268,,listen,0
NtQueryValueKey,16,,NtGetContextThread,1171
NtOpenKey,25,,NtOpenKey,382207
socket,0,,NtOpenProcess,27428587
InternetOpen,0,,NtQueryValueKey,1148851
shutdown,0,,NtReadFile,31067691
sendto,0,,NtResumeThread,15060
connect,0,,NtSetContextThread,1171
bind,0,,NtTerminateProcess,24355
listen,0,,NtWriteFile,9579114
accept,0,,Process32FirstW,1534
recv,0,,Process32NextW,54653
send,0,,recv,10059
InternetOpenUrl,0,,RegCloseKey,4523890
InternetReadFile,0,,RegCreateKeyExW,248845
InternetWriteFile,0,,RegDeleteKeyW,0
CreateThread,2,,RegEnumKeyExA,45927
CreateRemoteThread,0,,RegOpenKeyExW,5241101
NtResumeThread,0,,RegQueryValueExW,5262206
NtGetContextThread,0,,RegSetValueExW,101050
NtSetContextThread,0,,send,6117
CreateProcessInternalW,2,,sendto,0
NtOpenProcess,754,,SetFileAttributes,0
Process32NextW,34,,SetFilePointer,3457162
Process32FirstW,1,,SetFilePointerEx,210405
NtTerminateProcess,9,,shutdown,714
FindNextFile,0,,socket,5776
FindFirstFile,0,,(¿Õ°×),
FindFirstFileEx,0,,¾tÓ‹,91288402
SetFilePointer,5772,,,
SetFilePointerEx,0,,,
GetFileSize,1800,,,
GetFileSizeEx,1,,,
SetFileAttributes,0,,,
GetFileType,12,,,
CopyFileEx,0,,,
CopyFile,0,,,
DeleteFile,0,,,
EncryptFile,0,,,
NtReadFile,4180,,,
NtWriteFile,7066,,,
GetFileAttributes,0,,,
GetFileAttributesEx,0,,,
CryptDeriveKey,0,,,
CryptDecodeObject,0,,,
CryptGenKey,0,,,
CryptImportPublicKeyInfo,0,,,
CryptAcquireContext,0,,,
CryptAcquireContextW,3,,,
RegCloseKey,490,,,
RegCreateKeyExW,13,,,
RegDeleteKeyW,0,,,
RegQueryValueExW,1224,,,
RegSetValueExW,9,,,
RegEnumKeyExA,0,,,
RegOpenKeyExW,749,,,
NtQueryValueKey,38,,,
NtOpenKey,63,,,
socket,0,,,
InternetOpen,0,,,
shutdown,0,,,
sendto,0,,,
connect,0,,,
bind,0,,,
listen,0,,,
accept,0,,,
recv,0,,,
send,0,,,
InternetOpenUrl,0,,,
InternetReadFile,2,,,
InternetWriteFile,0,,,
CreateThread,8,,,
CreateRemoteThread,0,,,
NtResumeThread,3,,,
NtGetContextThread,2,,,
NtSetContextThread,2,,,
CreateProcessInternalW,7,,,
NtOpenProcess,16422,,,
Process32NextW,69,,,
Process32FirstW,2,,,
NtTerminateProcess,24,,,
FindNextFile,0,,,
FindFirstFile,0,,,
FindFirstFileEx,0,,,
SetFilePointer,8060,,,
SetFilePointerEx,1007,,,
GetFileSize,3948,,,
GetFileSizeEx,64,,,
SetFileAttributes,0,,,
GetFileType,38,,,
CopyFileEx,0,,,
CopyFile,0,,,
DeleteFile,0,,,
EncryptFile,0,,,
NtReadFile,7460,,,
NtWriteFile,15257,,,
GetFileAttributes,0,,,
GetFileAttributesEx,0,,,
CryptDeriveKey,0,,,
CryptDecodeObject,0,,,
CryptGenKey,0,,,
CryptImportPublicKeyInfo,0,,,
CryptAcquireContext,0,,,
CryptAcquireContextW,6,,,
RegCloseKey,4294,,,
RegCreateKeyExW,162,,,
RegDeleteKeyW,0,,,
RegQueryValueExW,5190,,,
RegSetValueExW,100,,,
RegEnumKeyExA,55,,,
RegOpenKeyExW,5130,,,
NtQueryValueKey,2302,,,
NtOpenKey,725,,,
socket,0,,,
InternetOpen,0,,,
shutdown,1,,,
sendto,0,,,
connect,0,,,
bind,4,,,
listen,0,,,
accept,0,,,
recv,0,,,
send,0,,,
InternetOpenUrl,0,,,
InternetReadFile,5,,,
InternetWriteFile,0,,,
CreateThread,31,,,
CreateRemoteThread,0,,,
NtResumeThread,16,,,
NtGetContextThread,4,,,
NtSetContextThread,4,,,
CreateProcessInternalW,23,,,
NtOpenProcess,31293,,,
Process32NextW,102,,,
Process32FirstW,3,,,
NtTerminateProcess,65,,,
FindNextFile,0,,,
FindFirstFile,0,,,
FindFirstFileEx,0,,,
SetFilePointer,8081,,,
SetFilePointerEx,1007,,,
GetFileSize,3966,,,
GetFileSizeEx,64,,,
SetFileAttributes,0,,,
GetFileType,38,,,
CopyFileEx,0,,,
CopyFile,0,,,
DeleteFile,0,,,
EncryptFile,0,,,
NtReadFile,7522,,,
NtWriteFile,15335,,,
GetFileAttributes,0,,,
GetFileAttributesEx,0,,,
CryptDeriveKey,0,,,
CryptDecodeObject,0,,,
CryptGenKey,0,,,
CryptImportPublicKeyInfo,0,,,
CryptAcquireContext,0,,,
CryptAcquireContextW,10,,,
RegCloseKey,4425,,,
