SetFilePointer,SetFilePointerEx,GetFileSize,GetFileSizeEx,GetFileType,NtReadFile,NtWriteFile,CryptAcquireContextW,CreateThread,NtResumeThread,CreateProcessInternalW,NtOpenProcess,Process32NextW,Process32FirstW,NtTerminateProcess,RegCloseKey,RegCreateKeyExW,RegDeleteKeyW,RegQueryValueExW,RegSetValueExW,RegEnumKeyExA,RegOpenKeyExW,NtQueryValueKey,NtOpenKey,socket,shutdown,connect,bind,recv,send,InternetReadFile
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,9297,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,9297,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,2,12,0,314,140,0,0,0,0,9311,0,0,6,706,0,0,2386,0,0,924,11,41,0,0,0,0,0,0,0
20,1,2,12,0,314,140,0,0,0,0,9311,0,0,7,706,0,0,2386,0,0,924,11,41,0,0,0,0,0,0,0
20,1,2,12,0,314,140,0,0,0,0,9311,0,0,8,706,0,0,2386,0,0,924,11,41,0,0,0,0,0,0,0
277,2,6,24,0,1696,1194,0,1,0,0,9358,0,0,11,1448,0,0,4785,0,0,1807,23,81,0,0,0,0,0,0,0
277,2,6,24,0,1696,1194,0,1,0,0,9358,0,0,12,1448,0,0,4785,0,0,1807,23,81,0,0,0,0,0,0,0
536,2,114,24,0,1931,1328,0,3,1,1,9359,0,0,16,1816,13,0,4975,9,0,2258,32,101,16,0,16,16,68,43,202
536,2,115,24,0,1931,1328,0,3,1,2,9359,0,0,16,2003,13,0,5046,9,0,2457,54,151,16,0,16,16,68,43,202
536,2,115,24,0,1931,1328,0,3,1,2,9359,0,0,17,2003,13,0,5046,9,0,2457,54,151,16,0,16,16,68,43,202
554,3,118,45,0,2816,1418,0,4,1,2,9421,33,1,17,2784,43,1,7428,17,0,3391,1518,246,16,0,16,16,68,43,202
554,3,137,45,0,2816,1418,0,5,1,2,9421,33,1,17,2792,43,1,7430,17,0,3418,1682,256,16,0,16,16,68,43,202
554,3,137,45,0,2816,1418,0,5,1,2,9421,33,1,18,2792,43,1,7430,17,0,3418,1682,256,16,0,16,16,68,43,202
597,3,186,77,0,3109,1589,0,6,2,5,9685,33,1,24,4376,89,4,9469,30,0,5264,5095,492,16,0,16,16,68,43,202
635,4,192,89,0,3694,1740,0,6,2,5,9699,33,1,24,5070,89,4,11843,30,0,6114,5111,540,16,0,16,16,68,43,202
642,5,194,101,0,4098,1744,0,6,2,5,9713,33,1,24,5593,89,4,14155,30,0,6792,5127,585,16,0,16,16,68,43,202
651,6,195,113,0,4680,1755,0,6,2,5,9728,33,1,24,6285,89,4,16526,30,0,7638,5143,633,16,0,16,16,68,43,202
651,6,195,113,0,4680,1755,0,6,2,5,9728,33,1,24,6285,89,4,16526,30,0,7638,5143,633,16,0,16,16,68,43,202
651,6,195,113,0,4680,1818,0,6,20,7,9728,33,1,24,6285,89,4,16526,30,0,7638,5143,633,16,0,16,16,68,43,202
651,6,195,114,10,4726,1818,0,7,21,7,23694,13994,422,24,6306,89,4,16580,30,0,7668,5492,695,17,0,16,17,16547,43,202
652,6,195,114,10,4728,1818,0,7,21,8,23694,13994,422,30,6306,89,4,16580,30,0,7668,5494,697,17,0,16,17,16547,43,202
652,6,195,115,10,4729,1818,0,7,21,8,23698,13994,422,30,6307,89,4,16580,30,0,7670,5732,726,17,0,16,17,16547,43,202
652,6,195,115,10,4729,1818,0,64,21,8,23698,13994,422,30,6307,89,4,16580,30,0,7670,5827,733,17,0,16,17,16547,43,202
714,9,209,155,10,4807,1819,1,72,22,8,23873,13994,422,30,7890,99,4,20437,44,0,9925,6608,1587,17,0,16,17,16547,43,202
714,9,209,155,10,4807,1819,1,72,22,8,23873,13994,422,33,7890,99,4,20437,44,0,9925,6610,1589,17,0,16,17,16547,43,202
714,9,209,155,10,4807,1819,1,72,22,8,23873,13994,422,36,7890,99,4,20437,44,0,9925,6616,1594,17,0,16,17,16547,43,202
715,9,209,155,10,4809,1819,1,72,22,9,23874,13994,422,42,7891,99,4,20437,44,0,9925,6618,1597,17,0,16,17,16547,43,202
715,9,209,155,10,4809,1819,1,72,22,9,23874,13994,422,45,7891,99,4,20437,44,0,9925,6619,1598,17,0,16,17,16547,43,202
715,9,209,155,10,4809,1819,1,72,22,9,23874,13994,422,48,7891,99,4,20437,44,0,9925,6620,1599,17,0,16,17,16547,43,202
715,9,209,155,10,4828,1819,1,73,23,9,23875,13994,422,48,8036,99,4,20438,117,0,9925,6830,1611,17,0,16,17,16547,43,202
715,9,209,155,10,4828,1819,1,73,23,9,23875,13994,422,51,8036,99,4,20438,117,0,9925,6831,1612,17,0,16,17,16547,43,202
715,9,209,155,10,4828,1819,1,73,23,9,23875,13994,422,54,8036,99,4,20438,117,0,9925,6833,1614,17,0,16,17,16547,43,202
715,9,209,155,10,4828,1819,1,73,23,9,23875,13994,422,57,8036,99,4,20438,117,0,9925,6834,1615,17,0,16,17,16547,43,202
715,9,209,155,10,4828,1820,1,73,23,9,24238,13994,422,57,8037,100,6,20438,121,0,9927,6917,1694,17,0,16,17,16547,43,202
715,9,209,155,10,4828,1820,1,73,23,9,24239,13994,422,60,8038,100,6,20438,121,0,9927,6918,1696,17,0,16,17,16547,43,202
715,9,209,155,10,4828,1820,1,73,23,9,24239,13994,422,63,8038,100,6,20438,121,0,9927,6920,1698,17,0,16,17,16547,43,202
