CreateThread,CreateRemoteThread,NtResumeThread,NtGetContextThread,NtSetContextThread,CreateProcessInternalW,NtOpenProcess,Process32NextW,Process32FirstW,NtTerminateProcess
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,9297,0,0,3
0,0,0,0,0,0,9297,0,0,6
0,0,0,0,0,0,9311,0,0,6
0,0,0,0,0,0,9311,0,0,7
0,0,0,0,0,0,9311,0,0,8
1,0,0,0,0,0,9358,0,0,11
1,0,0,0,0,0,9358,0,0,12
3,0,1,0,0,1,9359,0,0,16
3,0,1,0,0,2,9359,0,0,16
3,0,1,0,0,2,9359,0,0,17
4,0,1,0,0,2,9421,33,1,17
5,0,1,0,0,2,9421,33,1,17
5,0,1,0,0,2,9421,33,1,18
6,0,2,0,0,5,9685,33,1,24
6,0,2,0,0,5,9699,33,1,24
6,0,2,0,0,5,9713,33,1,24
6,0,2,0,0,5,9728,33,1,24
6,0,2,0,0,5,9728,33,1,24
6,0,20,0,0,7,9728,33,1,24
7,0,21,0,0,7,23694,13994,422,24
7,0,21,0,0,8,23694,13994,422,30
7,0,21,0,0,8,23698,13994,422,30
64,0,21,0,0,8,23698,13994,422,30
72,0,22,0,0,8,23873,13994,422,30
72,0,22,0,0,8,23873,13994,422,33
72,0,22,0,0,8,23873,13994,422,36
72,0,22,0,0,9,23874,13994,422,42
72,0,22,0,0,9,23874,13994,422,45
72,0,22,0,0,9,23874,13994,422,48
73,0,23,0,0,9,23875,13994,422,48
73,0,23,0,0,9,23875,13994,422,51
73,0,23,0,0,9,23875,13994,422,54
73,0,23,0,0,9,23875,13994,422,57
73,0,23,0,0,9,24238,13994,422,57
73,0,23,0,0,9,24239,13994,422,60
73,0,23,0,0,9,24239,13994,422,63
78,0,23,0,0,9,24239,13994,422,66
78,0,23,0,0,9,24239,13994,422,69
78,0,23,0,0,9,24239,13994,422,72
78,0,23,0,0,10,24239,13994,422,78
80,0,23,0,0,10,24240,13994,422,78
82,0,24,0,0,10,24240,13994,422,78
83,0,24,0,0,10,24240,13994,422,78
83,0,24,0,0,10,24240,13994,422,78
83,0,24,0,0,10,24240,13994,422,78
