RegCloseKey,RegCreateKeyExW,RegDeleteKeyW,RegQueryValueExW,RegSetValueExW,RegEnumKeyExA,RegOpenKeyExW,NtQueryValueKey,NtOpenKey
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
706,0,0,2386,0,0,924,11,41
706,0,0,2386,0,0,924,11,41
706,0,0,2386,0,0,924,11,41
1448,0,0,4785,0,0,1807,23,81
1448,0,0,4785,0,0,1807,23,81
1816,13,0,4975,9,0,2258,32,101
2003,13,0,5046,9,0,2457,54,151
2003,13,0,5046,9,0,2457,54,151
2784,43,1,7428,17,0,3391,1518,246
2792,43,1,7430,17,0,3418,1682,256
2792,43,1,7430,17,0,3418,1682,256
4376,89,4,9469,30,0,5264,5095,492
5070,89,4,11843,30,0,6114,5111,540
5593,89,4,14155,30,0,6792,5127,585
6285,89,4,16526,30,0,7638,5143,633
6285,89,4,16526,30,0,7638,5143,633
6285,89,4,16526,30,0,7638,5143,633
6306,89,4,16580,30,0,7668,5492,695
6306,89,4,16580,30,0,7668,5494,697
6307,89,4,16580,30,0,7670,5732,726
6307,89,4,16580,30,0,7670,5827,733
7890,99,4,20437,44,0,9925,6608,1587
7890,99,4,20437,44,0,9925,6610,1589
7890,99,4,20437,44,0,9925,6616,1594
7891,99,4,20437,44,0,9925,6618,1597
7891,99,4,20437,44,0,9925,6619,1598
7891,99,4,20437,44,0,9925,6620,1599
8036,99,4,20438,117,0,9925,6830,1611
8036,99,4,20438,117,0,9925,6831,1612
8036,99,4,20438,117,0,9925,6833,1614
8036,99,4,20438,117,0,9925,6834,1615
8037,100,6,20438,121,0,9927,6917,1694
8038,100,6,20438,121,0,9927,6918,1696
8038,100,6,20438,121,0,9927,6920,1698
8393,112,6,20687,124,3,10335,6937,1740
8393,112,6,20687,124,3,10335,6938,1741
8393,112,6,20687,124,3,10335,6939,1742
8393,112,6,20687,124,3,10335,6941,1744
8393,112,6,20687,124,3,10335,7129,1757
8579,119,6,20888,150,3,10591,7998,2507
8764,119,6,20961,150,3,10803,8000,2513
8765,119,6,20961,150,3,10806,8093,2530
8765,119,6,20961,150,3,10806,8118,2577
8774,119,6,20966,150,3,10826,12440,2705
8774,119,6,20966,150,3,10826,12441,2706
8774,119,6,20966,150,3,10826,12482,2750
8774,119,6,20966,150,3,10826,12482,2750
8775,119,6,20966,150,3,10828,12578,2760
8776,119,6,20972,150,3,10831,12583,2765
8776,119,6,20972,150,3,10831,12583,2765
8776,119,6,20972,150,3,10831,12585,2767
8776,119,6,20972,150,3,10831,12586,2768
8776,119,6,20972,150,3,10831,12588,2770
8956,119,6,21040,150,3,11035,12699,2841
8956,119,6,21040,150,3,11035,12700,2842
8956,119,6,21040,150,3,11035,12700,2842
8956,119,6,21040,150,3,11035,12700,2842
8956,119,6,21040,150,3,11035,12700,2842
8956,119,6,21040,150,3,11035,12701,2843
8956,119,6,21040,150,3,11035,12702,2844
8964,119,6,21044,150,3,11043,12797,2851
8968,119,6,21044,150,3,11047,12862,2856
8968,119,6,21044,150,3,11047,12863,2857
8968,119,6,21044,150,3,11047,12864,2858
8973,119,6,21044,150,3,11052,12987,2865
8973,119,6,21044,150,3,11052,13077,2910
8973,119,6,21044,150,3,11052,13083,2915
9161,126,6,21244,176,3,11306,13882,3662
9161,126,6,21244,176,3,11306,13882,3662
9163,126,6,21245,176,3,11311,14060,3733
9163,126,6,21245,176,3,11311,14062,3735
9163,126,6,21245,176,3,11311,14063,3736
9163,126,6,21245,176,3,11311,14063,3736
9163,126,6,21245,176,3,11311,14065,3738
9163,126,6,21245,176,3,11311,14066,3739
10843,137,6,24809,1163,3,13870,14100,3844
10845,137,6,24813,1163,3,13873,14322,3908
10848,137,6,24813,1163,3,13877,14394,3916
10849,137,6,24813,1163,3,13883,14637,3950
10849,137,6,24813,1163,3,13883,14638,3951
10849,137,6,24813,1163,3,13883,14644,3956
10849,137,6,24813,1163,3,13883,14645,3957
10849,137,6,24813,1163,3,13883,14646,3958
10859,137,6,24819,1163,3,13896,15766,4022
10859,137,6,24819,1163,3,13896,15766,4022
10859,137,6,24819,1163,3,13896,15767,4023
10859,137,6,24819,1163,3,13896,15769,4025
10859,137,6,24819,1163,3,13896,15772,4026
10859,137,6,24819,1163,3,13896,15774,4028
10859,137,6,24819,1163,3,13896,15774,4028
10859,137,6,24819,1163,3,13896,15777,4029
10859,137,6,24819,1163,3,13896,15778,4030
10861,137,6,24819,1163,3,13900,16101,4060
10861,137,6,24819,1163,3,13900,16101,4060
10861,137,6,24819,1163,3,13900,16102,4061
10881,150,6,24827,1166,3,13912,16250,4081
10885,150,6,24829,1166,3,13917,16415,4093
10886,150,6,24829,1166,3,13918,16416,4095
11066,150,6,24896,1166,3,14123,16418,4100
11066,150,6,24896,1166,3,14123,16419,4101
11066,150,6,24896,1166,3,14123,16419,4101
11073,150,6,24899,1166,3,14136,18943,4169
11149,150,6,25009,1166,3,14263,18952,4194
11150,150,6,25009,1166,3,14267,19201,4224
11150,150,6,25009,1166,3,14267,19207,4229
11150,150,6,25009,1166,3,14267,19209,4231
11151,150,6,25009,1166,3,14267,19209,4232
11151,150,6,25009,1166,3,14267,19209,4232
11151,150,6,25009,1166,3,14267,19210,4233
11151,150,6,25009,1166,3,14267,19210,4233
11152,150,6,25010,1166,3,14269,19380,4240
11154,152,6,25012,1168,3,14269,19413,4297
11168,153,7,25021,1168,3,14312,26346,4451
11323,160,7,25033,1171,6,14387,26579,4472
11323,160,7,25033,1171,6,14387,26581,4474
11323,160,7,25033,1171,6,14387,26582,4475
11323,160,7,25033,1171,6,14387,26585,4476
11323,160,7,25033,1171,6,14387,26587,4478
11323,160,7,25033,1171,6,14387,26594,4483
11323,160,7,25033,1171,6,14387,26596,4485
11323,160,7,25033,1171,6,14387,26596,4485
11323,160,7,25033,1171,6,14387,26597,4486
11323,160,7,25033,1171,6,14387,26600,4487
11323,160,7,25033,1171,6,14387,26601,4488
11323,160,7,25033,1171,6,14387,26602,4489
11324,160,7,25033,1171,6,14389,26933,4518
11325,160,7,25033,1171,6,14391,27318,4860
11325,160,7,25033,1171,6,14391,27320,4862
11326,160,7,25033,1171,6,14395,27562,4896
11327,160,7,25033,1171,6,14397,27852,4925
11327,160,7,25033,1171,6,14397,27858,4930
14483,160,7,25401,1171,6,17565,28224,4974
14496,160,7,25409,1171,6,17587,28379,4986
14517,160,7,25463,1171,6,17617,28690,5018
14518,160,7,25463,1171,6,17619,28755,5023
14518,160,7,25463,1171,6,17619,28848,5047
14518,160,7,25463,1171,6,17619,28849,5048
14529,160,7,25475,1171,6,17645,32594,5202
14529,160,7,25475,1171,6,17645,32595,5203
14529,160,7,25475,1171,6,17645,32596,5204
14529,160,7,25475,1171,6,17645,32598,5205
14529,160,7,25475,1171,6,17645,32598,5205
14529,160,7,25475,1171,6,17645,32600,5207
14530,160,7,25475,1171,6,17645,32601,5209
14530,160,7,25475,1171,6,17645,32667,5215
14530,160,7,25475,1171,6,17645,32667,5215
14531,160,7,25481,1171,6,17648,32672,5220
14531,160,7,25481,1171,6,17648,32673,5221
14531,160,7,25481,1171,6,17648,32673,5221
14531,160,7,25481,1171,6,17648,32674,5222
14531,160,7,25481,1171,6,17648,32674,5222
14531,160,7,25481,1171,6,17648,32678,5224
14531,160,7,25481,1171,6,17648,32679,5225
14546,160,7,25494,1171,6,17681,36995,5353
14546,160,7,25494,1171,6,17681,37119,5360
14546,160,7,25494,1171,6,17681,37203,5377
14546,160,7,25494,1171,6,17681,37204,5378
14546,160,7,25494,1171,6,17681,37207,5379
14547,160,7,25494,1171,6,17685,37449,5413
14547,160,7,25494,1171,6,17685,37452,5416
14547,160,7,25494,1171,6,17685,37452,5416
14547,160,7,25494,1171,6,17685,37453,5417
14547,160,7,25494,1171,6,17685,37459,5422
14560,160,7,25495,1171,6,17693,37768,5471
14577,160,7,25497,1171,6,17700,39069,5542
14577,160,7,25497,1171,6,17700,39075,5547
14577,160,7,25497,1171,6,17700,39116,5591
14577,160,7,25497,1171,6,17700,39116,5591
14578,160,7,25498,1171,6,17702,39295,5601
14578,160,7,25498,1171,6,17702,39297,5603
14578,160,7,25498,1171,6,17702,39302,5608
14578,160,7,25498,1171,6,17703,39330,5659
14656,164,7,25611,1195,6,17878,46825,7411
14656,164,7,25611,1195,6,17878,46825,7411
14658,164,7,25611,1195,6,17882,46890,7416
14660,164,7,25612,1195,6,17893,47068,7487
14661,164,7,25612,1195,6,17895,47385,7516
14661,164,7,25612,1195,6,17895,47386,7517
14661,164,7,25612,1195,6,17895,47388,7519
14662,164,7,25612,1195,6,17895,47475,7526
14663,164,7,25612,1195,6,17897,47818,7577
14663,164,7,25612,1195,6,17897,47819,7578
14666,164,7,25616,1195,6,17902,48063,7588
14691,164,7,25691,1208,6,17902,48241,7598
14691,164,7,25691,1208,6,17902,48242,7599
14871,164,7,25758,1208,6,18096,48246,7607
14872,164,7,25764,1208,6,18099,48247,7608
14872,164,7,25764,1208,6,18099,48250,7609
14872,164,7,25764,1208,6,18099,48253,7610
15052,164,7,25832,1208,6,18297,48364,7681
15069,171,7,25835,1211,6,18315,52030,7782
15071,171,7,25835,1211,6,18320,52166,7835
15071,171,7,25835,1211,6,18320,52207,7879
15094,171,7,25835,1211,38,18320,52285,7884
15094,171,7,25836,1211,38,18321,52460,7896
15095,171,7,25836,1211,38,18323,52792,7930
15095,171,7,25836,1211,38,18323,52795,7931
15095,171,7,25836,1211,38,18323,52798,7932
15095,171,7,25836,1211,38,18323,52799,7933
15095,171,7,25836,1211,38,18323,52800,7934
15096,171,7,25836,1211,38,18325,53738,10192
15096,171,7,25836,1211,38,18325,53744,10197
15100,171,7,25839,1211,38,18331,53917,10206
15100,171,7,25839,1211,38,18331,53919,10208
15759,171,7,26192,1219,43,18980,55130,10267
15759,171,7,26192,1219,43,18980,55131,10268
15759,171,7,26192,1219,43,18980,55132,10269
15759,171,7,26192,1219,43,18980,55132,10269
15998,189,7,26304,1222,43,19358,55140,10289
16001,189,7,26304,1225,43,19358,55221,10296
16014,196,7,26304,1228,43,19365,55385,10311
16014,196,7,26304,1228,43,19366,55386,10312
16014,196,7,26304,1228,43,19366,55389,10313
16015,196,7,26304,1228,43,19368,55719,10347
16018,196,7,26305,1229,43,19372,55892,10360
16018,196,7,26305,1229,43,19372,55893,10361
16018,196,7,26305,1229,43,19372,55894,10362
17275,196,7,27709,1237,50,20903,55921,10416
17276,196,7,27709,1237,50,20905,56164,10448
17276,196,7,27709,1237,50,20905,56189,10495
17463,203,7,27910,1263,50,21163,59389,11281
17463,203,7,27910,1263,50,21163,59389,11281
17463,203,7,27910,1263,50,21163,59408,11287
17463,203,7,27910,1263,50,21163,59409,11288
17463,203,7,27910,1263,50,21163,59508,11295
17463,203,7,27910,1263,50,21163,59510,11297
17464,203,7,27910,1263,50,21165,59654,11315
17464,203,7,27910,1263,50,21165,59654,11315
17464,203,7,27910,1263,50,21165,59660,11320
17464,203,7,27910,1263,50,21165,59663,11321
17464,203,7,27910,1263,50,21165,59665,11323
18721,203,7,29314,1271,57,22690,59692,11377
18721,203,7,29314,1271,57,22690,59692,11377
18725,203,7,29316,1271,57,22695,59759,11383
19916,204,7,29424,1271,57,23348,59770,11400
19916,204,7,29424,1271,57,23348,59772,11402
19916,204,7,29424,1271,57,23348,59774,11404
19916,204,7,29424,1271,57,23348,59775,11405
