socket,InternetOpen,shutdown,sendto,connect,bind,listen,accept,recv,send,InternetOpenUrl,InternetReadFile,InternetWriteFile
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,16,16,0,0,68,43,0,202,0
16,0,0,0,16,16,0,0,68,43,0,202,0
16,0,0,0,16,16,0,0,68,43,0,202,0
16,0,0,0,16,16,0,0,68,43,0,202,0
16,0,0,0,16,16,0,0,68,43,0,202,0
16,0,0,0,16,16,0,0,68,43,0,202,0
16,0,0,0,16,16,0,0,68,43,0,202,0
16,0,0,0,16,16,0,0,68,43,0,202,0
16,0,0,0,16,16,0,0,68,43,0,202,0
16,0,0,0,16,16,0,0,68,43,0,202,0
16,0,0,0,16,16,0,0,68,43,0,202,0
16,0,0,0,16,16,0,0,68,43,0,202,0
17,0,0,0,16,17,0,0,16547,43,0,202,0
17,0,0,0,16,17,0,0,16547,43,0,202,0
17,0,0,0,16,17,0,0,16547,43,0,202,0
17,0,0,0,16,17,0,0,16547,43,0,202,0
17,0,0,0,16,17,0,0,16547,43,0,202,0
17,0,0,0,16,17,0,0,16547,43,0,202,0
17,0,0,0,16,17,0,0,16547,43,0,202,0
17,0,0,0,16,17,0,0,16547,43,0,202,0
17,0,0,0,16,17,0,0,16547,43,0,202,0
17,0,0,0,16,17,0,0,16547,43,0,202,0
17,0,0,0,16,17,0,0,16547,43,0,202,0
17,0,0,0,16,17,0,0,16547,43,0,202,0
17,0,0,0,16,17,0,0,16547,43,0,202,0
17,0,0,0,16,17,0,0,16547,43,0,202,0
17,0,0,0,16,17,0,0,16547,43,0,202,0
17,0,0,0,16,17,0,0,16547,43,0,202,0
17,0,0,0,16,17,0,0,16547,43,0,202,0
17,0,0,0,16,17,0,0,16547,43,0,204,0
17,0,0,0,16,17,0,0,16547,43,0,204,0
17,0,0,0,16,17,0,0,16547,43,0,204,0
17,0,0,0,16,17,0,0,16547,43,0,204,0
17,0,0,0,16,18,0,0,16547,43,0,204,0
17,0,0,0,16,18,0,0,16547,43,0,204,0
17,0,0,0,16,18,0,0,16547,43,0,204,0
17,0,0,0,16,18,0,0,16547,43,0,204,0
17,0,0,0,16,18,0,0,16547,43,0,204,0
17,0,0,0,16,18,0,0,16547,43,0,204,0
17,0,0,0,16,18,0,0,16547,43,0,204,0
17,0,0,0,16,18,0,0,16547,43,0,204,0
17,0,0,0,16,18,0,0,16547,43,0,204,0
17,0,0,0,16,18,0,0,16547,43,0,204,0
17,0,0,0,16,18,0,0,16547,43,0,204,0
17,0,0,0,16,18,0,0,16547,43,0,204,0
17,0,0,0,16,18,0,0,16547,43,0,204,0
17,0,0,0,16,18,0,0,16547,43,0,204,0
17,0,0,0,16,18,0,0,16547,43,0,204,0
17,0,0,0,16,18,0,0,16547,43,0,204,0
17,0,0,0,16,18,0,0,16547,43,0,204,0
17,0,0,0,16,18,0,0,16547,43,0,204,0
17,0,0,0,16,18,0,0,16547,43,0,204,0
17,0,0,0,16,18,0,0,16547,43,0,204,0
17,0,0,0,16,18,0,0,16547,43,0,204,0
17,0,0,0,16,18,0,0,16547,43,0,204,0
17,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,204,0
18,0,0,0,16,18,0,0,16547,43,0,205,0
18,0,0,0,16,18,0,0,16547,43,0,205,0
18,0,0,0,16,18,0,0,16547,43,0,205,0
18,0,0,0,16,18,0,0,16547,43,0,205,0
18,0,0,0,16,18,0,0,16547,43,0,205,0
18,0,0,0,16,18,0,0,16547,43,0,205,0
19,0,0,0,17,18,0,0,16547,49,0,205,0
