CreateThread,CreateRemoteThread,NtResumeThread,NtGetContextThread,NtSetContextThread,CreateProcessInternalW,NtOpenProcess,Process32NextW,Process32FirstW,NtTerminateProcess
0,0,1,1,1,1,14,0,0,3
7,0,2,2,2,4,28,66,2,9
14,0,2,2,2,6,28,1564,46,12
15,0,2,2,2,9,72,1564,46,20
34,0,11,2,2,16,120,1564,46,37
50,0,19,3,3,21,146,1626,48,50
62,0,23,3,3,30,265,1626,48,72
62,0,23,3,3,30,279,1626,48,72
69,0,24,4,4,33,293,1692,50,78
84,0,30,5,5,38,318,1756,52,93
87,0,30,5,5,43,380,1756,52,103
102,0,38,6,6,48,406,1880,56,116
109,0,38,7,7,51,420,1946,58,122
124,0,45,8,8,56,444,2039,61,135
127,0,46,8,8,56,444,2076,62,135
142,0,52,8,8,60,455,2108,63,146
157,0,57,8,8,67,468,2108,63,164
178,0,66,8,8,76,638,2180,65,180
211,0,79,8,8,95,895,2180,65,223
226,0,86,9,9,100,919,2244,67,236
230,0,86,9,9,103,973,2244,67,244
245,0,94,10,10,108,997,2337,70,257
263,0,102,10,10,115,1008,2337,70,275
263,0,102,10,10,115,1022,2337,70,275
278,0,109,11,11,120,1047,2369,71,290
292,0,114,11,11,127,1068,2369,71,308
295,0,114,11,11,132,1120,2369,71,320
295,0,114,11,11,132,1120,2369,71,323
295,0,114,11,11,132,2279,2369,71,323
312,0,122,11,11,139,2294,2369,71,341
339,0,134,12,12,153,2473,2639,79,369
354,0,139,14,14,165,2551,2639,79,385
380,0,151,15,15,175,2731,2705,81,404
391,0,157,15,15,175,2731,2705,81,404
406,0,165,16,16,180,2755,2767,83,417
424,0,174,17,17,188,2766,2767,83,438
442,0,181,18,18,195,2806,2837,85,454
451,0,184,20,20,205,2884,2837,85,479
457,0,184,21,21,208,2884,2903,87,483
484,0,195,21,21,224,3011,2903,87,526
494,0,198,23,23,236,3087,2903,87,551
526,0,212,24,24,247,3319,2969,89,570
543,0,220,25,25,252,3329,3001,90,583
543,0,220,26,26,254,3343,3001,90,591
565,0,229,26,26,268,3653,3001,90,628
566,0,231,27,27,275,3728,3001,90,641
568,0,231,28,28,278,3742,3069,92,647
570,0,231,28,28,281,3783,3069,92,655
585,0,237,28,28,292,4008,3069,92,686
603,0,245,28,28,299,4019,3069,92,703
619,0,253,29,29,304,4043,3069,92,716
635,0,261,30,30,309,4068,3102,93,730
635,0,261,30,30,310,4068,3102,93,736
653,0,269,30,30,317,4079,3102,93,754
653,0,269,30,30,317,4079,3102,93,754
670,0,278,30,30,335,4276,3102,93,804
692,0,285,30,30,349,4456,3102,93,841
694,0,286,31,31,354,4530,3102,93,852
696,0,289,31,31,357,4549,3369,100,862
711,0,296,32,32,362,4575,3465,103,875
718,0,297,33,33,365,4589,3739,111,881
