RegCloseKey,RegCreateKeyExW,RegDeleteKeyW,RegQueryValueExW,RegSetValueExW,RegEnumKeyExA,RegOpenKeyExW,NtQueryValueKey,NtOpenKey
369,0,0,2244,0,0,483,10,30
841,5,0,4601,2,6,1112,45,72
866,5,0,4646,2,12,1145,69,83
1995,16,0,6309,9,18,2401,720,116
4282,68,0,7998,22,419,4794,1015,548
6123,114,0,11402,35,484,7037,1178,748
7555,134,2,13395,46,490,8708,4459,913
7917,134,2,15652,46,490,9226,4470,951
8309,134,2,17941,46,496,9741,4504,992
9422,163,2,20748,58,551,11192,5232,1200
9888,181,2,21783,71,557,11841,5277,1249
11397,228,2,25014,84,622,13681,5952,1445
11789,228,2,27303,84,628,14196,5986,1486
13299,274,2,30590,97,689,16156,6116,1681
13325,281,2,30845,97,689,16186,6117,1683
14773,360,2,32019,121,754,17958,6299,1848
17138,379,2,33322,128,1104,31553,6623,2246
19799,526,2,35852,201,1139,34782,7587,2466
21445,585,3,37955,220,1145,36642,15143,2736
23037,662,3,41250,243,1210,38678,15368,2932
24213,684,5,42953,250,1216,39977,16544,3022
25739,730,5,46225,263,1278,41859,16676,3222
27858,782,5,47815,276,1679,44019,16939,3652
28201,782,5,50059,276,1679,44502,16948,3681
29793,856,5,53274,296,1738,46497,17527,3890
32449,875,5,56616,303,2088,56777,17785,4305
33559,889,6,58310,314,2094,58128,17875,4364
33559,889,6,58310,314,2094,58128,17876,4365
33559,889,6,58310,314,2094,58128,17876,4365
36901,918,6,60067,324,2491,67459,18145,4792
39923,1153,6,64856,426,2532,70897,18654,5219
41717,1233,6,70879,459,2541,73258,18736,5372
44885,1466,6,75722,556,2582,76857,19111,5641
45515,1470,6,76015,558,2585,77360,19885,5722
47023,1516,6,79295,571,2650,79269,20015,5917
49350,1568,6,80986,584,3051,81631,20281,6356
51748,1603,6,87054,594,3112,84314,20417,6521
54244,1639,6,94824,614,3118,87509,21112,6826
54268,1639,6,94867,614,3124,87540,21140,6838
55863,1694,7,96937,635,3130,89352,27579,7068
58287,1730,7,103977,655,3136,92398,28264,7360
62267,1972,7,109368,771,3191,96909,29343,7706
63588,2018,7,110470,784,3256,98607,29464,7873
64308,2018,7,113031,784,3256,99676,29487,7922
65846,2066,8,115067,799,3262,101452,36063,8170
138258,2079,8,121265,806,3268,103809,36696,8272
138650,2079,8,123537,806,3274,104339,36732,8318
138896,2092,8,124249,813,3280,104664,36757,8353
140444,2136,9,126258,828,3286,106456,41717,8554
142808,2216,9,127933,848,3687,108858,42066,8984
144459,2254,9,131231,858,3749,110911,42191,9160
146141,2299,9,134359,870,3804,112913,42684,9382
146142,2299,9,134359,870,3804,112913,42686,9384
148697,2382,9,136113,893,4201,115512,43042,9827
148697,2382,9,136113,893,4201,115512,43042,9827
151356,2448,11,139550,921,4207,118564,47661,10253
153182,2525,13,142139,951,4213,120717,52251,10631
155105,2570,13,148302,969,4219,123010,52976,10727
156033,2573,13,151502,977,4264,124353,53019,10852
157565,2620,13,154739,990,4326,126226,53668,11053
157956,2620,13,157027,990,4332,126740,53702,11094
158299,2620,13,159271,990,4332,127223,53711,11123
159976,2666,13,162617,1003,4397,129510,53842,11319
161337,2684,15,164566,1014,4403,131117,55008,11404
163011,2730,15,167912,1027,4464,133246,55138,11600
166787,2971,15,171117,1136,4519,137423,56221,11910
167926,2984,15,172792,1143,4525,138685,56782,11948
170514,3013,15,174315,1153,4922,148337,57054,12378
173169,3247,15,176884,1254,4963,151304,57430,12617
174844,3294,15,180167,1267,5024,153437,58211,12819
176273,3310,17,182146,1278,5030,155116,61524,12982
177867,3386,17,185372,1300,5089,157113,62098,13191
180227,3442,17,186924,1314,5486,161526,66253,13702
182269,3482,17,193326,1330,5492,163936,66837,13819
183787,3528,17,196615,1343,5557,165901,66968,14014
185372,3583,18,198705,1364,5563,167667,74067,14283
185372,129180,18,198705,1364,5563,167667,74067,14283
185528,129183,18,198731,1370,5563,167816,74222,14338
186000,129188,18,201087,1372,5569,168445,74257,14380
187779,129230,18,206151,1387,5575,170545,74936,14460
189369,129283,18,208188,1408,5581,172379,80782,14668
190104,129283,18,212676,1408,5581,173345,80803,14729
190447,129283,18,214920,1408,5581,173828,80812,14758
193267,129302,18,218320,1415,5931,185547,81131,15175
195108,129313,18,224473,1422,5937,187769,81699,15269
196205,129358,18,225227,1434,5996,189074,82203,15446
196678,129363,18,227585,1436,6002,189705,82238,15488
199000,129415,18,229263,1449,6400,192067,82503,15926
200578,129468,20,231298,1470,6406,193889,89467,16181
201736,129514,20,232365,1483,6468,195299,89592,16355
204058,129566,20,234054,1496,6869,197711,89859,16796
205419,129584,21,236003,1507,6875,199318,90438,16849
205892,129589,21,238361,1509,6881,199948,90473,16891
207652,129632,21,243372,1524,6887,202015,91221,16972
208371,129645,21,244624,1531,6893,202829,91261,17007
210760,129728,21,246320,1554,7294,205210,91615,17449
210760,129728,21,246320,1554,7294,205210,91615,17449
212386,129797,21,249596,1574,7356,207138,91840,17645
213513,129812,21,251299,1583,7362,208396,92410,17687
216537,130044,21,256165,1684,7407,211856,92865,17950
217990,130066,23,258169,1695,7413,213554,97585,18133
219332,130112,23,259295,1708,7475,215235,97711,18309
221699,130131,23,260599,1715,7825,228446,98004,18704
224061,130214,23,262276,1738,8222,230902,98353,19134
225647,130290,23,265515,1759,8283,232921,99226,19331
227266,130303,23,271436,1766,8289,234937,99300,19434
227291,130303,23,271481,1766,8295,234970,99324,19445
228933,130366,25,273573,1788,8301,236848,107429,19752
