socket,InternetOpen,shutdown,sendto,connect,bind,listen,accept,recv,send,InternetOpenUrl,InternetReadFile,InternetWriteFile
0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,3,3072,0,0,0,0,0,0,0,0,0
5,0,5,5248,0,0,0,0,0,0,0,0,0
5,0,5,5248,0,0,0,0,0,0,0,0,0
14,0,10,7424,6,10,0,0,62,25,0,8,0
22,0,13,8576,12,19,0,0,137,50,0,16,0
22,0,13,8576,12,19,0,0,137,50,0,16,0
22,0,13,8576,12,19,0,0,137,50,0,16,0
24,0,15,10624,12,19,0,0,137,50,0,16,0
32,0,20,12800,18,28,0,0,212,75,0,24,0
32,0,20,12800,18,28,0,0,212,75,0,24,0
40,0,25,13952,24,37,0,0,273,100,0,32,0
42,0,27,14976,24,37,0,0,273,100,0,32,0
50,0,30,16128,30,46,0,0,332,124,0,40,0
77,0,56,16155,30,46,0,0,332,124,0,40,0
85,0,61,18331,36,55,0,0,394,149,0,48,0
91,0,64,20507,40,59,0,0,411,158,0,61,0
94,0,67,22043,40,59,0,0,411,158,0,61,0
94,0,67,22043,40,59,0,0,411,158,0,61,0
102,0,72,23195,46,68,0,0,486,183,0,69,0
102,0,72,23195,46,68,0,0,486,183,0,69,0
110,0,75,24347,52,77,0,0,563,208,0,77,0
118,0,80,26523,58,86,0,0,626,233,0,85,0
118,0,80,26523,58,86,0,0,626,233,0,85,0
126,0,85,28699,64,95,0,0,697,257,0,93,0
132,0,88,30875,68,99,0,0,714,266,0,106,0
132,0,88,30875,68,99,0,0,714,266,0,106,0
132,0,88,30875,68,99,0,0,714,266,0,106,0
132,0,88,30875,68,99,0,0,714,266,0,106,0
140,0,93,33051,74,108,0,0,774,292,0,114,0
144,0,96,34587,75,109,0,0,774,292,0,114,0
146,0,98,38683,75,109,0,0,774,292,0,116,0
150,0,101,40219,76,110,0,0,774,292,0,116,0
155,0,101,40219,81,119,0,0,804,305,0,117,0
163,0,106,41371,87,128,0,0,866,330,0,125,0
171,0,111,43547,93,137,0,0,928,355,0,133,0
178,0,114,45083,97,144,0,0,962,367,0,134,0
180,0,116,77851,97,144,0,0,962,367,0,136,0
182,0,118,78875,97,144,0,0,962,367,0,136,0
182,0,118,78875,97,144,0,0,962,367,0,136,0
184,0,120,111643,97,144,0,0,962,367,0,138,0
188,0,123,113179,98,145,0,0,962,367,0,138,0
196,0,126,114331,104,154,0,0,1025,392,0,146,0
196,0,126,114331,104,154,0,0,1025,392,0,146,0
196,0,126,114331,104,154,0,0,1025,392,0,146,0
196,0,126,114331,104,154,0,0,1025,392,0,146,0
197,0,127,114843,104,154,0,0,1025,392,0,146,0
197,0,127,114843,104,154,0,0,1025,392,0,146,0
197,0,127,114843,104,154,0,0,1025,392,0,146,0
205,0,132,117019,110,163,0,0,1087,417,0,154,0
211,0,134,118171,114,170,0,0,1131,432,0,185,0
219,0,139,120347,120,179,0,0,1193,457,0,193,0
219,0,139,120347,120,179,0,0,1193,457,0,193,0
227,0,144,122523,126,188,0,0,1252,481,0,201,0
227,0,144,122523,126,188,0,0,1252,481,0,201,0
229,0,146,155291,126,188,0,0,1252,481,0,201,0
231,0,148,188059,126,188,0,0,1252,481,0,203,0
231,0,148,188059,126,188,0,0,1252,481,0,203,0
231,0,148,188059,126,188,0,0,1252,481,0,203,0
239,0,153,190235,132,197,0,0,1325,506,0,211,0
241,0,155,192283,132,197,0,0,1325,506,0,211,0
241,0,155,192283,132,197,0,0,1325,506,0,211,0
249,0,160,193435,138,206,0,0,1400,531,0,219,0
249,0,160,193435,138,206,0,0,1400,531,0,219,0
257,0,165,194587,144,215,0,0,1463,556,0,227,0
261,0,168,196123,145,216,0,0,1463,556,0,227,0
261,0,168,196123,145,216,0,0,1463,556,0,227,0
