FindNextFile,FindFirstFile,FindFirstFileEx,SetFilePointer,SetFilePointerEx,GetFileSize,GetFileSizeEx,SetFileAttributes,GetFileType,CopyFileEx,CopyFile,DeleteFile,EncryptFile,NtReadFile,NtWriteFile,GetFileAttributes,GetFileAttributesEx,CryptDeriveKey,CryptDecodeObject,CryptGenKey,CryptImportPublicKeyInfo,CryptAcquireContext,CryptAcquireContextW,CreateThread,CreateRemoteThread,NtResumeThread,NtGetContextThread,NtSetContextThread,CreateProcessInternalW,NtOpenProcess,Process32NextW,Process32FirstW,NtTerminateProcess,RegCloseKey,RegCreateKeyExW,RegDeleteKeyW,RegQueryValueExW,RegSetValueExW,RegEnumKeyExA,RegOpenKeyExW,NtQueryValueKey,NtOpenKey,socket,InternetOpen,shutdown,sendto,connect,bind,listen,accept,recv,send,InternetOpenUrl,InternetReadFile,InternetWriteFile
0,0,0,0,0,1357,0,0,5,0,0,0,0,50,0,0,0,0,0,0,0,0,4,14,0,9,0,0,2,11,0,0,5,167,4,0,401,6,0,267,398,38,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1357,0,0,5,0,0,0,0,50,0,0,0,0,0,1,0,0,6,23,0,16,0,0,4,19,0,0,8,3246,5,0,3569,7,0,3243,410,59,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,60,0,1382,0,0,9,0,0,0,0,140,1,0,0,0,0,1,0,0,9,47,0,34,1,1,6,38,0,0,11,3461,8,0,4095,8,3,3576,831,136,0,0,1,0,0,1,0,0,1,1,0,0,0
0,0,0,60,0,1382,1,0,9,0,0,0,0,146,17,0,0,0,0,1,0,0,13,55,0,37,2,2,7,57,0,0,14,3603,22,0,4214,19,14,3721,875,158,8,0,1,0,8,1,0,0,7,3,0,2,0
0,0,0,68,1,1384,16,0,9,0,0,0,0,270,42,0,0,0,0,1,0,0,17,63,0,41,4,4,9,101,0,0,20,4112,36,0,6577,30,25,4349,996,213,18,0,1,0,18,1,0,0,25,12,0,4,0
0,0,0,68,1,1384,16,0,9,0,0,0,0,270,42,0,0,0,0,2,0,0,27,73,0,50,4,4,11,111,0,0,23,9829,39,0,12335,32,28,9941,1018,248,18,0,1,0,18,1,0,0,25,12,0,4,0
0,0,0,68,1,2741,16,0,14,0,0,0,0,320,42,0,0,0,0,2,0,0,31,87,0,59,4,4,13,122,0,0,28,9996,43,0,12736,38,28,10208,1416,286,18,0,1,0,18,1,0,0,25,12,0,4,0
0,0,0,76,2,2744,31,0,14,0,0,0,0,444,67,0,0,0,0,2,0,0,35,96,0,63,6,6,15,170,0,0,34,10595,89,0,15112,59,39,10918,1766,348,26,0,1,0,26,1,0,0,37,18,0,6,0
0,0,0,76,2,2744,31,0,14,0,0,0,0,444,67,0,0,0,0,3,0,0,45,106,0,72,6,6,17,180,0,0,37,16290,92,0,20858,61,42,16497,1788,383,26,0,1,0,26,1,0,0,37,18,0,6,0
0,0,0,76,2,2744,32,0,14,0,0,0,0,450,83,0,0,0,0,3,0,0,49,114,0,75,7,7,18,198,0,0,40,16432,106,0,20977,72,53,16642,1812,404,34,0,1,0,33,1,0,0,40,19,0,8,0
