SetFilePointer,SetFilePointerEx,GetFileSize,GetFileSizeEx,GetFileType,NtReadFile,NtWriteFile,CryptGenKey,CryptAcquireContextW,CreateThread,NtResumeThread,NtGetContextThread,NtSetContextThread,CreateProcessInternalW,NtOpenProcess,NtTerminateProcess,RegCloseKey,RegCreateKeyExW,RegQueryValueExW,RegSetValueExW,RegEnumKeyExA,RegOpenKeyExW,NtQueryValueKey,NtOpenKey,socket,shutdown,connect,bind,recv,send,InternetReadFile
0,0,1357,0,5,50,0,0,4,14,9,0,0,2,11,5,167,4,401,6,0,267,398,38,0,0,0,0,0,0,0
0,0,1357,0,5,50,0,1,6,23,16,0,0,4,19,8,3246,5,3569,7,0,3243,410,59,0,0,0,1,0,0,0
60,0,1382,0,9,140,1,1,9,47,34,1,1,6,38,11,3461,8,4095,8,3,3576,831,136,0,1,0,1,1,1,0
60,0,1382,1,9,146,17,1,13,55,37,2,2,7,57,14,3603,22,4214,19,14,3721,875,158,8,1,8,1,7,3,2
68,1,1384,16,9,270,42,1,17,63,41,4,4,9,101,20,4112,36,6577,30,25,4349,996,213,18,1,18,1,25,12,4
68,1,1384,16,9,270,42,2,27,73,50,4,4,11,111,23,9829,39,12335,32,28,9941,1018,248,18,1,18,1,25,12,4
68,1,2741,16,14,320,42,2,31,87,59,4,4,13,122,28,9996,43,12736,38,28,10208,1416,286,18,1,18,1,25,12,4
76,2,2744,31,14,444,67,2,35,96,63,6,6,15,170,34,10595,89,15112,59,39,10918,1766,348,26,1,26,1,37,18,6
76,2,2744,31,14,444,67,3,45,106,72,6,6,17,180,37,16290,92,20858,61,42,16497,1788,383,26,1,26,1,37,18,6
76,2,2744,32,14,450,83,3,49,114,75,7,7,18,198,40,16432,106,20977,72,53,16642,1812,404,34,1,33,1,40,19,8
