SetFilePointer,SetFilePointerEx,GetFileSize,GetFileSizeEx,GetFileType,NtReadFile,NtWriteFile,CryptAcquireContextW,CreateThread,NtResumeThread,NtGetContextThread,NtSetContextThread,CreateProcessInternalW,NtOpenProcess,Process32NextW,Process32FirstW,NtTerminateProcess,RegCloseKey,RegCreateKeyExW,RegQueryValueExW,RegSetValueExW,RegEnumKeyExA,RegOpenKeyExW,NtQueryValueKey,NtOpenKey,socket,shutdown,connect,bind,recv,send,InternetReadFile,InternetWriteFile
0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,93,0,448,0,0,173,10,21,0,0,0,0,0,0,0,0
0,0,4,0,0,2,0,2,1,3,1,1,3,2,34,1,2,95,0,448,0,0,173,18,26,0,0,0,0,0,0,0,0
0,0,5,0,0,3,0,3,2,5,1,1,4,2,34,1,3,100,0,451,0,0,177,18,26,0,0,0,0,0,0,0,0
0,0,5,0,0,3,0,3,2,6,1,1,5,2,34,1,4,112,0,462,0,0,186,22,32,0,0,0,0,0,0,0,0
0,0,9,0,0,5,0,4,2,8,2,2,7,2,68,2,6,113,0,462,0,0,186,28,34,0,0,0,0,0,0,0,0
1,0,11,0,1,6,2,11,4,11,2,2,10,3,68,2,13,218,3,489,6,0,308,478,1032,4,0,4,4,4,4,32,8
16,1,13,12,4,142,24,12,4,13,3,3,12,17,68,2,17,586,3,2733,6,0,791,494,1064,4,0,4,4,4,4,32,8
32,1,25,12,4,183,62,16,14,20,3,3,13,18,68,2,20,710,7,2775,12,0,934,1021,1128,24,0,24,28,34,26,90,32
32,1,26,12,4,184,62,17,15,20,3,3,13,18,68,2,20,710,7,2775,12,0,934,1021,1128,24,0,24,28,34,26,90,32
32,1,26,12,4,184,62,18,16,21,3,3,14,18,68,2,21,715,7,2778,12,0,938,1023,1130,24,0,24,28,34,26,90,32
32,1,34,12,8,189,64,18,16,23,4,4,16,18,102,3,28,827,7,2793,12,31,962,1032,1140,28,0,28,28,34,26,90,32
32,1,34,12,8,189,64,19,17,24,4,4,17,18,102,3,29,832,7,2796,12,31,966,1032,1140,28,0,28,28,34,26,90,32
50,1,48,12,9,238,124,26,31,37,4,4,20,19,102,3,36,961,15,2827,19,31,1111,3020,1209,50,1,50,58,85,55,323,64
50,1,48,12,9,238,124,27,32,38,4,4,21,19,102,3,37,1001,15,2896,19,31,1170,3022,1212,50,1,50,58,85,55,323,64
50,1,48,12,9,238,124,28,32,40,5,5,23,21,170,5,40,1002,15,2896,19,31,1170,3029,1215,50,1,50,58,85,55,323,64
51,1,53,12,10,240,127,35,33,43,5,5,26,22,170,5,47,1193,22,2925,26,31,1295,6460,1258,101,1,101,109,133,103,507,108
51,1,53,12,10,240,127,36,34,44,5,5,27,22,170,5,48,1200,22,2928,26,31,1299,6460,1259,101,1,101,109,133,103,507,108
67,1,66,12,11,287,176,43,46,55,5,5,30,23,170,5,55,1200,22,2928,26,31,1300,11136,1326,167,1,167,183,246,183,890,181
67,1,66,12,11,287,176,44,47,56,5,5,31,23,170,5,56,1205,22,2931,26,31,1304,11136,1326,167,1,167,183,246,183,890,181
79,1,75,12,12,325,271,50,55,64,5,5,34,25,170,5,62,1325,26,2978,32,31,1445,12266,1403,176,1,176,196,262,194,946,189
79,1,75,12,12,327,272,51,61,67,6,6,36,44,256,8,66,1352,26,2979,32,513,1447,12273,1406,176,1,176,196,262,194,946,189
79,1,75,12,12,327,272,52,61,68,6,6,37,44,256,8,67,1353,26,2979,32,513,1447,12279,1408,176,1,176,196,262,194,946,189
95,1,89,12,13,370,321,59,73,79,6,6,40,45,256,8,74,1554,34,3010,39,513,1588,17134,1475,251,1,251,278,387,287,1405,246
95,1,90,12,13,371,321,60,74,81,6,6,41,45,256,8,75,1557,34,3011,39,513,1589,17134,1475,251,1,251,278,387,287,1405,246
111,4,100,24,14,421,351,66,82,88,6,6,44,61,256,8,81,2026,38,5280,45,513,2222,18717,1593,275,1,275,305,417,310,1473,260
151,5,119,36,14,530,399,70,91,96,6,6,45,76,256,8,83,2490,42,7539,51,513,2835,19274,1699,299,1,299,333,446,334,1561,292
151,5,123,36,14,532,399,71,91,98,7,7,47,76,290,9,84,2511,42,7539,51,513,2835,19280,1701,299,1,299,333,446,334,1561,292
151,5,123,36,14,532,399,71,91,100,8,8,49,76,290,9,88,2512,42,7539,51,513,2835,19291,1709,299,1,299,333,446,334,1561,292
152,5,123,36,14,534,399,72,91,101,8,8,51,77,290,9,92,2515,42,7540,51,513,2839,19299,1716,299,1,299,333,446,334,1561,292
152,5,123,36,14,534,399,73,92,102,8,8,52,77,290,9,93,2520,42,7543,51,513,2843,19301,1718,299,1,299,333,446,334,1561,292
172,5,140,36,15,589,482,79,108,115,8,8,55,78,290,9,99,2652,50,7575,58,513,2991,21588,1790,333,4,333,375,515,376,1714,338
172,5,140,36,15,589,482,79,108,115,8,8,55,78,290,9,102,2659,50,7579,58,513,3000,21593,1796,333,4,333,375,515,376,1714,338
172,5,140,36,15,589,482,80,109,116,8,8,56,78,290,9,103,2662,50,7580,58,513,3001,21593,1796,333,4,333,375,515,376,1714,338
172,5,140,36,15,589,482,80,109,116,8,8,56,78,290,9,104,2662,50,7580,58,513,3001,21593,1796,333,4,333,375,515,376,1714,338
172,5,140,36,15,589,482,81,110,117,8,8,57,78,290,9,105,2669,50,7586,58,513,3006,21593,1796,333,4,333,375,515,376,1714,338
189,5,153,36,16,635,534,88,126,128,8,8,60,79,290,9,112,2854,58,7617,65,513,3147,26036,1863,399,7,399,449,642,463,2343,386
189,5,154,36,16,636,534,89,127,129,8,8,61,79,290,9,112,2857,58,7618,65,513,3148,26036,1863,399,7,399,449,642,463,2343,386
190,5,154,36,16,638,534,89,127,129,8,8,62,79,290,9,118,2857,58,7618,65,513,3148,26038,1865,399,7,399,449,642,463,2343,386
204,5,167,36,16,686,578,93,141,139,8,8,63,80,324,9,120,3000,70,7687,72,513,3294,26767,1952,454,8,423,478,679,490,2398,414
218,5,178,40,16,727,608,98,150,147,8,8,64,85,324,9,122,3193,78,7870,79,513,3529,27333,2035,472,8,441,499,705,509,2445,435
218,5,178,40,16,727,608,99,151,148,8,8,65,85,324,9,123,3198,78,7873,79,513,3533,27333,2035,472,8,441,499,705,509,2445,435
230,5,187,40,17,756,634,106,156,153,8,8,68,86,324,9,129,3360,86,7904,86,513,3662,30392,2104,521,8,490,550,770,564,2803,474
248,5,202,40,18,805,689,112,171,166,8,8,71,88,324,9,135,3504,95,7935,93,513,3817,32461,2276,540,11,508,575,813,589,2863,496
248,5,206,40,18,807,689,112,171,167,9,9,72,89,358,10,137,3514,95,7943,93,513,3825,32465,2283,540,11,508,575,813,589,2863,496
248,5,206,40,18,807,689,113,172,168,9,9,73,89,358,10,138,3521,95,7946,93,513,3829,32467,2285,540,11,508,575,813,589,2863,496
265,5,221,40,18,857,748,117,185,179,9,9,74,90,358,10,140,3690,103,8005,100,513,3998,33262,2362,575,11,543,617,883,635,2948,539
265,5,221,40,18,857,811,117,185,197,9,9,76,90,358,10,140,3690,103,8005,100,513,3998,33262,2362,575,11,543,617,883,635,2948,539
