CreateThread,CreateRemoteThread,NtResumeThread,NtGetContextThread,NtSetContextThread,CreateProcessInternalW,NtOpenProcess,Process32NextW,Process32FirstW,NtTerminateProcess
1,0,1,0,0,1,1,0,0,0
1,0,3,1,1,3,2,34,1,2
2,0,5,1,1,4,2,34,1,3
2,0,6,1,1,5,2,34,1,4
2,0,8,2,2,7,2,68,2,6
4,0,11,2,2,10,3,68,2,13
4,0,13,3,3,12,17,68,2,17
14,0,20,3,3,13,18,68,2,20
15,0,20,3,3,13,18,68,2,20
16,0,21,3,3,14,18,68,2,21
16,0,23,4,4,16,18,102,3,28
17,0,24,4,4,17,18,102,3,29
31,0,37,4,4,20,19,102,3,36
32,0,38,4,4,21,19,102,3,37
32,0,40,5,5,23,21,170,5,40
33,0,43,5,5,26,22,170,5,47
34,0,44,5,5,27,22,170,5,48
46,0,55,5,5,30,23,170,5,55
47,0,56,5,5,31,23,170,5,56
55,0,64,5,5,34,25,170,5,62
61,0,67,6,6,36,44,256,8,66
61,0,68,6,6,37,44,256,8,67
73,0,79,6,6,40,45,256,8,74
74,0,81,6,6,41,45,256,8,75
82,0,88,6,6,44,61,256,8,81
91,0,96,6,6,45,76,256,8,83
91,0,98,7,7,47,76,290,9,84
91,0,100,8,8,49,76,290,9,88
91,0,101,8,8,51,77,290,9,92
92,0,102,8,8,52,77,290,9,93
108,0,115,8,8,55,78,290,9,99
108,0,115,8,8,55,78,290,9,102
109,0,116,8,8,56,78,290,9,103
109,0,116,8,8,56,78,290,9,104
110,0,117,8,8,57,78,290,9,105
126,0,128,8,8,60,79,290,9,112
127,0,129,8,8,61,79,290,9,112
127,0,129,8,8,62,79,290,9,118
141,0,139,8,8,63,80,324,9,120
150,0,147,8,8,64,85,324,9,122
151,0,148,8,8,65,85,324,9,123
156,0,153,8,8,68,86,324,9,129
171,0,166,8,8,71,88,324,9,135
171,0,167,9,9,72,89,358,10,137
172,0,168,9,9,73,89,358,10,138
185,0,179,9,9,74,90,358,10,140
185,0,197,9,9,76,90,358,10,140
