RegCloseKey,RegCreateKeyExW,RegDeleteKeyW,RegQueryValueExW,RegSetValueExW,RegEnumKeyExA,RegOpenKeyExW,NtQueryValueKey,NtOpenKey
93,0,0,448,0,0,173,10,21
95,0,0,448,0,0,173,18,26
100,0,0,451,0,0,177,18,26
112,0,0,462,0,0,186,22,32
113,0,0,462,0,0,186,28,34
218,3,0,489,6,0,308,478,1032
586,3,0,2733,6,0,791,494,1064
710,7,0,2775,12,0,934,1021,1128
710,7,0,2775,12,0,934,1021,1128
715,7,0,2778,12,0,938,1023,1130
827,7,0,2793,12,31,962,1032,1140
832,7,0,2796,12,31,966,1032,1140
961,15,0,2827,19,31,1111,3020,1209
1001,15,0,2896,19,31,1170,3022,1212
1002,15,0,2896,19,31,1170,3029,1215
1193,22,0,2925,26,31,1295,6460,1258
1200,22,0,2928,26,31,1299,6460,1259
1200,22,0,2928,26,31,1300,11136,1326
1205,22,0,2931,26,31,1304,11136,1326
1325,26,0,2978,32,31,1445,12266,1403
1352,26,0,2979,32,513,1447,12273,1406
1353,26,0,2979,32,513,1447,12279,1408
1554,34,0,3010,39,513,1588,17134,1475
1557,34,0,3011,39,513,1589,17134,1475
2026,38,0,5280,45,513,2222,18717,1593
2490,42,0,7539,51,513,2835,19274,1699
2511,42,0,7539,51,513,2835,19280,1701
2512,42,0,7539,51,513,2835,19291,1709
2515,42,0,7540,51,513,2839,19299,1716
2520,42,0,7543,51,513,2843,19301,1718
2652,50,0,7575,58,513,2991,21588,1790
2659,50,0,7579,58,513,3000,21593,1796
2662,50,0,7580,58,513,3001,21593,1796
2662,50,0,7580,58,513,3001,21593,1796
2669,50,0,7586,58,513,3006,21593,1796
2854,58,0,7617,65,513,3147,26036,1863
2857,58,0,7618,65,513,3148,26036,1863
2857,58,0,7618,65,513,3148,26038,1865
3000,70,0,7687,72,513,3294,26767,1952
3193,78,0,7870,79,513,3529,27333,2035
3198,78,0,7873,79,513,3533,27333,2035
3360,86,0,7904,86,513,3662,30392,2104
3504,95,0,7935,93,513,3817,32461,2276
3514,95,0,7943,93,513,3825,32465,2283
3521,95,0,7946,93,513,3829,32467,2285
3690,103,0,8005,100,513,3998,33262,2362
3690,103,0,8005,100,513,3998,33262,2362
