socket,InternetOpen,shutdown,sendto,connect,bind,listen,accept,recv,send,InternetOpenUrl,InternetReadFile,InternetWriteFile
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,4,4,0,0,4,4,0,32,8
4,0,0,0,4,4,0,0,4,4,0,32,8
24,0,0,0,24,28,0,0,34,26,0,90,32
24,0,0,0,24,28,0,0,34,26,0,90,32
24,0,0,0,24,28,0,0,34,26,0,90,32
28,0,0,0,28,28,0,0,34,26,0,90,32
28,0,0,0,28,28,0,0,34,26,0,90,32
50,0,1,0,50,58,0,0,85,55,0,323,64
50,0,1,0,50,58,0,0,85,55,0,323,64
50,0,1,0,50,58,0,0,85,55,0,323,64
101,0,1,0,101,109,0,0,133,103,0,507,108
101,0,1,0,101,109,0,0,133,103,0,507,108
167,0,1,0,167,183,0,0,246,183,0,890,181
167,0,1,0,167,183,0,0,246,183,0,890,181
176,0,1,0,176,196,0,0,262,194,0,946,189
176,0,1,0,176,196,0,0,262,194,0,946,189
176,0,1,0,176,196,0,0,262,194,0,946,189
251,0,1,0,251,278,0,0,387,287,0,1405,246
251,0,1,0,251,278,0,0,387,287,0,1405,246
275,0,1,0,275,305,0,0,417,310,0,1473,260
299,0,1,0,299,333,0,0,446,334,0,1561,292
299,0,1,0,299,333,0,0,446,334,0,1561,292
299,0,1,0,299,333,0,0,446,334,0,1561,292
299,0,1,0,299,333,0,0,446,334,0,1561,292
299,0,1,0,299,333,0,0,446,334,0,1561,292
333,0,4,0,333,375,0,0,515,376,0,1714,338
333,0,4,0,333,375,0,0,515,376,0,1714,338
333,0,4,0,333,375,0,0,515,376,0,1714,338
333,0,4,0,333,375,0,0,515,376,0,1714,338
333,0,4,0,333,375,0,0,515,376,0,1714,338
399,0,7,0,399,449,0,0,642,463,0,2343,386
399,0,7,0,399,449,0,0,642,463,0,2343,386
399,0,7,0,399,449,0,0,642,463,0,2343,386
454,0,8,0,423,478,0,0,679,490,0,2398,414
472,0,8,0,441,499,0,0,705,509,0,2445,435
472,0,8,0,441,499,0,0,705,509,0,2445,435
521,0,8,0,490,550,0,0,770,564,0,2803,474
540,0,11,0,508,575,0,0,813,589,0,2863,496
540,0,11,0,508,575,0,0,813,589,0,2863,496
540,0,11,0,508,575,0,0,813,589,0,2863,496
575,0,11,0,543,617,0,0,883,635,0,2948,539
575,0,11,0,543,617,0,0,883,635,0,2948,539
