SetFilePointer,GetFileSize,GetFileSizeEx,GetFileType,NtReadFile,NtWriteFile,CryptAcquireContextW,CreateThread,NtResumeThread,NtGetContextThread,NtSetContextThread,CreateProcessInternalW,NtOpenProcess,Process32NextW,Process32FirstW,NtTerminateProcess,RegCloseKey,RegCreateKeyExW,RegQueryValueExW,RegSetValueExW,RegEnumKeyExA,RegOpenKeyExW,NtQueryValueKey,NtOpenKey,socket,connect,bind,recv,send,InternetReadFile
899,29,2,387,989,2,0,7,2,0,0,2,28,317772,9307,9,1785,11,1248,5,15,1179,52,91,3,3,3,6,4,1
903,36,4,387,1205,3,0,14,4,0,0,3,56,498660,14744,12,3018,23,2055,10,30,2039,89,134,8,8,8,15,10,2
907,43,6,387,1386,4,0,21,6,0,0,4,84,652289,19364,15,4153,35,2825,15,45,2854,126,177,12,12,12,22,15,3
910,50,8,387,1388,5,0,28,8,0,0,5,112,812545,24183,18,5045,47,3475,20,60,3548,165,220,16,16,16,29,20,4
913,58,10,387,1390,5,0,34,9,0,0,6,140,963728,28738,21,5940,60,4117,25,75,4239,200,256,21,21,21,38,26,5
916,64,12,387,1564,6,0,41,10,0,0,7,168,1107604,33080,24,7049,72,4874,30,90,5040,235,294,25,25,25,45,31,6
919,70,14,387,1566,7,0,48,11,0,0,8,196,1230498,36808,27,8106,83,5609,35,105,5813,270,333,27,27,27,50,34,7
923,80,16,387,1569,8,0,60,14,0,0,11,198,1372625,40908,31,9585,96,6523,41,120,7363,326,519,31,31,31,57,39,8
935,93,18,403,1727,12,4,755,708,1,1,14,204,1372625,40908,40,9725,98,6907,43,120,7582,353,548,31,31,60,57,39,8
939,100,20,403,1729,13,4,762,710,1,1,15,232,1414062,42155,43,10365,113,7394,48,135,8146,390,591,33,33,62,62,42,9
942,106,22,403,1731,14,4,769,711,1,1,16,260,1434468,42766,46,11273,124,8018,53,150,8845,425,630,103,103,132,131,111,9
946,113,24,403,1734,15,4,774,712,1,1,17,288,1493091,44564,47,11910,135,8524,58,159,9391,459,667,105,105,134,136,114,10
2327,156,26,998,2866,17,4,781,713,1,1,19,316,1501568,44817,56,12721,145,9099,62,174,10029,505,753,151,151,180,182,159,10
2331,163,28,998,2868,18,4,788,715,1,1,20,344,1802185,54052,59,14499,156,10259,67,189,11195,542,796,153,153,182,187,162,11
2335,172,30,998,2871,19,4,800,718,1,1,23,346,1841449,55166,65,16071,169,11200,73,204,12804,596,983,236,236,265,270,244,11
2338,179,32,998,2874,20,4,812,721,1,1,26,348,1887400,56481,69,17345,183,11991,79,219,14268,658,1173,239,239,268,279,250,12
3756,223,34,1609,4013,22,4,818,723,1,1,28,376,2053766,61466,78,18055,198,12671,85,234,14910,708,1264,242,242,271,287,256,13
3760,231,36,1609,4015,23,4,823,724,1,1,29,404,2119327,63446,81,18673,208,13159,89,243,15437,743,1300,244,244,273,292,259,14
3760,231,36,1609,4015,23,4,825,726,3,3,32,404,2119327,63446,90,18675,209,13159,90,243,15437,748,1305,244,244,273,292,259,14
3764,239,40,1609,4019,23,4,832,727,3,3,33,432,2185538,65447,93,20176,220,14055,95,258,16396,781,1343,452,452,481,504,470,14
3767,245,42,1609,4022,24,4,839,728,3,3,34,460,2320194,69519,96,21313,231,14807,100,273,17213,815,1381,454,454,483,509,473,15
3771,255,44,1609,4025,25,4,851,731,3,3,37,462,2429823,72551,102,22826,248,15713,107,288,18771,867,1562,508,508,537,722,632,16
3775,263,46,1609,4027,26,4,858,733,3,3,38,490,2592099,77408,105,23762,261,16496,112,303,19487,904,1605,512,512,541,729,637,17
3778,271,48,1609,4030,27,4,870,736,3,3,41,492,2753637,81902,107,25596,274,17560,118,318,21214,966,1795,649,649,678,1274,1045,18
3782,278,50,1609,4032,28,4,876,738,3,3,42,520,2916768,86737,110,26335,278,17772,122,328,21582,1656,1844,651,651,680,1279,1048,19
