FindNextFile,FindFirstFile,FindFirstFileEx,SetFilePointer,SetFilePointerEx,GetFileSize,GetFileSizeEx,SetFileAttributes,GetFileType,CopyFileEx,CopyFile,DeleteFile,EncryptFile,NtReadFile,NtWriteFile,GetFileAttributes,GetFileAttributesEx,CryptDeriveKey,CryptDecodeObject,CryptGenKey,CryptImportPublicKeyInfo,CryptAcquireContext,CryptAcquireContextW,CreateThread,CreateRemoteThread,NtResumeThread,NtGetContextThread,NtSetContextThread,CreateProcessInternalW,NtOpenProcess,Process32NextW,Process32FirstW,NtTerminateProcess,RegCloseKey,RegCreateKeyExW,RegDeleteKeyW,RegQueryValueExW,RegSetValueExW,RegEnumKeyExA,RegOpenKeyExW,NtQueryValueKey,NtOpenKey,socket,InternetOpen,shutdown,sendto,connect,bind,listen,accept,recv,send,InternetOpenUrl,InternetReadFile,InternetWriteFile
0,0,0,899,0,29,2,0,387,0,0,0,0,989,2,0,0,0,0,0,0,0,0,7,0,2,0,0,2,28,317772,9307,9,1785,11,0,1248,5,15,1179,52,91,3,0,0,0,3,3,0,0,6,4,0,1,0
0,0,0,903,0,36,4,0,387,0,0,0,0,1205,3,0,0,0,0,0,0,0,0,14,0,4,0,0,3,56,498660,14744,12,3018,23,0,2055,10,30,2039,89,134,8,0,0,0,8,8,0,0,15,10,0,2,0
0,0,0,907,0,43,6,0,387,0,0,0,0,1386,4,0,0,0,0,0,0,0,0,21,0,6,0,0,4,84,652289,19364,15,4153,35,0,2825,15,45,2854,126,177,12,0,0,0,12,12,0,0,22,15,0,3,0
0,0,0,910,0,50,8,0,387,0,0,0,0,1388,5,0,0,0,0,0,0,0,0,28,0,8,0,0,5,112,812545,24183,18,5045,47,0,3475,20,60,3548,165,220,16,0,0,0,16,16,0,0,29,20,0,4,0
0,0,0,913,0,58,10,0,387,0,0,0,0,1390,5,0,0,0,0,0,0,0,0,34,0,9,0,0,6,140,963728,28738,21,5940,60,0,4117,25,75,4239,200,256,21,0,0,0,21,21,0,0,38,26,0,5,0
0,0,0,916,0,64,12,0,387,0,0,0,0,1564,6,0,0,0,0,0,0,0,0,41,0,10,0,0,7,168,1107604,33080,24,7049,72,0,4874,30,90,5040,235,294,25,0,0,0,25,25,0,0,45,31,0,6,0
0,0,0,919,0,70,14,0,387,0,0,0,0,1566,7,0,0,0,0,0,0,0,0,48,0,11,0,0,8,196,1230498,36808,27,8106,83,0,5609,35,105,5813,270,333,27,0,0,0,27,27,0,0,50,34,0,7,0
0,0,0,923,0,80,16,0,387,0,0,0,0,1569,8,0,0,0,0,0,0,0,0,60,0,14,0,0,11,198,1372625,40908,31,9585,96,0,6523,41,120,7363,326,519,31,0,0,0,31,31,0,0,57,39,0,8,0
0,0,0,935,0,93,18,0,403,0,0,0,0,1727,12,0,0,0,0,0,0,0,4,755,0,708,1,1,14,204,1372625,40908,40,9725,98,0,6907,43,120,7582,353,548,31,0,0,0,31,60,0,0,57,39,0,8,0
0,0,0,939,0,100,20,0,403,0,0,0,0,1729,13,0,0,0,0,0,0,0,4,762,0,710,1,1,15,232,1414062,42155,43,10365,113,0,7394,48,135,8146,390,591,33,0,0,0,33,62,0,0,62,42,0,9,0
0,0,0,942,0,106,22,0,403,0,0,0,0,1731,14,0,0,0,0,0,0,0,4,769,0,711,1,1,16,260,1434468,42766,46,11273,124,0,8018,53,150,8845,425,630,103,0,0,0,103,132,0,0,131,111,0,9,0
0,0,0,946,0,113,24,0,403,0,0,0,0,1734,15,0,0,0,0,0,0,0,4,774,0,712,1,1,17,288,1493091,44564,47,11910,135,0,8524,58,159,9391,459,667,105,0,0,0,105,134,0,0,136,114,0,10,0
0,0,0,2327,0,156,26,0,998,0,0,0,0,2866,17,0,0,0,0,0,0,0,4,781,0,713,1,1,19,316,1501568,44817,56,12721,145,0,9099,62,174,10029,505,753,151,0,0,0,151,180,0,0,182,159,0,10,0
0,0,0,2331,0,163,28,0,998,0,0,0,0,2868,18,0,0,0,0,0,0,0,4,788,0,715,1,1,20,344,1802185,54052,59,14499,156,0,10259,67,189,11195,542,796,153,0,0,0,153,182,0,0,187,162,0,11,0
0,0,0,2335,0,172,30,0,998,0,0,0,0,2871,19,0,0,0,0,0,0,0,4,800,0,718,1,1,23,346,1841449,55166,65,16071,169,0,11200,73,204,12804,596,983,236,0,0,0,236,265,0,0,270,244,0,11,0
0,0,0,2338,0,179,32,0,998,0,0,0,0,2874,20,0,0,0,0,0,0,0,4,812,0,721,1,1,26,348,1887400,56481,69,17345,183,0,11991,79,219,14268,658,1173,239,0,0,0,239,268,0,0,279,250,0,12,0
0,0,0,3756,0,223,34,0,1609,0,0,0,0,4013,22,0,0,0,0,0,0,0,4,818,0,723,1,1,28,376,2053766,61466,78,18055,198,0,12671,85,234,14910,708,1264,242,0,0,0,242,271,0,0,287,256,0,13,0
0,0,0,3760,0,231,36,0,1609,0,0,0,0,4015,23,0,0,0,0,0,0,0,4,823,0,724,1,1,29,404,2119327,63446,81,18673,208,0,13159,89,243,15437,743,1300,244,0,0,0,244,273,0,0,292,259,0,14,0
0,0,0,3760,0,231,36,0,1609,0,0,0,0,4015,23,0,0,0,0,0,0,0,4,825,0,726,3,3,32,404,2119327,63446,90,18675,209,0,13159,90,243,15437,748,1305,244,0,0,0,244,273,0,0,292,259,0,14,0
0,0,0,3764,0,239,40,0,1609,0,0,0,0,4019,23,0,0,0,0,0,0,0,4,832,0,727,3,3,33,432,2185538,65447,93,20176,220,0,14055,95,258,16396,781,1343,452,0,0,0,452,481,0,0,504,470,0,14,0
0,0,0,3767,0,245,42,0,1609,0,0,0,0,4022,24,0,0,0,0,0,0,0,4,839,0,728,3,3,34,460,2320194,69519,96,21313,231,0,14807,100,273,17213,815,1381,454,0,0,0,454,483,0,0,509,473,0,15,0
0,0,0,3771,0,255,44,0,1609,0,0,0,0,4025,25,0,0,0,0,0,0,0,4,851,0,731,3,3,37,462,2429823,72551,102,22826,248,0,15713,107,288,18771,867,1562,508,0,0,0,508,537,0,0,722,632,0,16,0
0,0,0,3775,0,263,46,0,1609,0,0,0,0,4027,26,0,0,0,0,0,0,0,4,858,0,733,3,3,38,490,2592099,77408,105,23762,261,0,16496,112,303,19487,904,1605,512,0,0,0,512,541,0,0,729,637,0,17,0
0,0,0,3778,0,271,48,0,1609,0,0,0,0,4030,27,0,0,0,0,0,0,0,4,870,0,736,3,3,41,492,2753637,81902,107,25596,274,0,17560,118,318,21214,966,1795,649,0,0,0,649,678,0,0,1274,1045,0,18,0
