RegCloseKey,RegCreateKeyExW,RegDeleteKeyW,RegQueryValueExW,RegSetValueExW,RegEnumKeyExA,RegOpenKeyExW,NtQueryValueKey,NtOpenKey
1785,11,0,1248,5,15,1179,52,91
3018,23,0,2055,10,30,2039,89,134
4153,35,0,2825,15,45,2854,126,177
5045,47,0,3475,20,60,3548,165,220
5940,60,0,4117,25,75,4239,200,256
7049,72,0,4874,30,90,5040,235,294
8106,83,0,5609,35,105,5813,270,333
9585,96,0,6523,41,120,7363,326,519
9725,98,0,6907,43,120,7582,353,548
10365,113,0,7394,48,135,8146,390,591
11273,124,0,8018,53,150,8845,425,630
11910,135,0,8524,58,159,9391,459,667
12721,145,0,9099,62,174,10029,505,753
14499,156,0,10259,67,189,11195,542,796
16071,169,0,11200,73,204,12804,596,983
17345,183,0,11991,79,219,14268,658,1173
18055,198,0,12671,85,234,14910,708,1264
18673,208,0,13159,89,243,15437,743,1300
18675,209,0,13159,90,243,15437,748,1305
20176,220,0,14055,95,258,16396,781,1343
21313,231,0,14807,100,273,17213,815,1381
22826,248,0,15713,107,288,18771,867,1562
23762,261,0,16496,112,303,19487,904,1605
25596,274,0,17560,118,318,21214,966,1795
26335,278,0,17772,122,328,21582,1656,1844
