socket,InternetOpen,shutdown,sendto,connect,bind,listen,accept,recv,send,InternetOpenUrl,InternetReadFile,InternetWriteFile
3,0,0,0,3,3,0,0,6,4,0,1,0
8,0,0,0,8,8,0,0,15,10,0,2,0
12,0,0,0,12,12,0,0,22,15,0,3,0
16,0,0,0,16,16,0,0,29,20,0,4,0
21,0,0,0,21,21,0,0,38,26,0,5,0
25,0,0,0,25,25,0,0,45,31,0,6,0
27,0,0,0,27,27,0,0,50,34,0,7,0
31,0,0,0,31,31,0,0,57,39,0,8,0
31,0,0,0,31,60,0,0,57,39,0,8,0
33,0,0,0,33,62,0,0,62,42,0,9,0
103,0,0,0,103,132,0,0,131,111,0,9,0
105,0,0,0,105,134,0,0,136,114,0,10,0
151,0,0,0,151,180,0,0,182,159,0,10,0
153,0,0,0,153,182,0,0,187,162,0,11,0
236,0,0,0,236,265,0,0,270,244,0,11,0
239,0,0,0,239,268,0,0,279,250,0,12,0
242,0,0,0,242,271,0,0,287,256,0,13,0
244,0,0,0,244,273,0,0,292,259,0,14,0
244,0,0,0,244,273,0,0,292,259,0,14,0
452,0,0,0,452,481,0,0,504,470,0,14,0
454,0,0,0,454,483,0,0,509,473,0,15,0
508,0,0,0,508,537,0,0,722,632,0,16,0
512,0,0,0,512,541,0,0,729,637,0,17,0
649,0,0,0,649,678,0,0,1274,1045,0,18,0
651,0,0,0,651,680,0,0,1279,1048,0,19,0
