FindNextFile,FindFirstFile,FindFirstFileEx,SetFilePointer,SetFilePointerEx,GetFileSize,GetFileSizeEx,SetFileAttributes,GetFileType,CopyFileEx,CopyFile,DeleteFile,EncryptFile,NtReadFile,NtWriteFile,GetFileAttributes,GetFileAttributesEx,CryptDeriveKey,CryptDecodeObject,CryptGenKey,CryptImportPublicKeyInfo,CryptAcquireContext,CryptAcquireContextW,CreateThread,CreateRemoteThread,NtResumeThread,NtGetContextThread,NtSetContextThread,CreateProcessInternalW,NtOpenProcess,Process32NextW,Process32FirstW,NtTerminateProcess,RegCloseKey,RegCreateKeyExW,RegDeleteKeyW,RegQueryValueExW,RegSetValueExW,RegEnumKeyExA,RegOpenKeyExW,NtQueryValueKey,NtOpenKey,socket,InternetOpen,shutdown,sendto,connect,bind,listen,accept,recv,send,InternetOpenUrl,InternetReadFile,InternetWriteFile
0,0,0,0,0,1321,0,0,2,0,0,0,0,34,0,0,0,0,0,0,0,0,3,8,0,6,0,0,1,9,0,0,3,75,0,0,90,1,0,138,148,34,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2644,0,0,1262,0,0,0,0,703,536,0,0,0,0,0,0,0,318,15,0,10,0,0,2,13,0,0,6,214,2,0,403,2,0,342,193,52,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3967,0,0,2522,0,0,0,0,1372,1072,0,0,0,0,0,0,0,633,22,0,14,0,0,3,17,0,0,9,353,4,0,716,3,0,546,240,73,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,5288,0,0,2522,0,0,0,0,1389,1072,0,0,0,0,0,0,0,633,28,0,36,32,0,3,22,0,0,9,381,4,0,750,4,0,637,325,93,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6611,0,0,3782,0,0,0,0,2058,1608,0,0,0,0,0,0,0,948,34,0,40,32,0,4,26,0,0,11,519,6,0,1063,5,0,842,355,103,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,7934,0,0,5042,0,0,0,0,2727,2144,0,0,0,0,0,0,0,1263,40,0,44,32,0,5,30,0,0,14,657,8,0,1376,6,0,1046,385,113,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,9260,0,0,6296,0,0,0,0,3392,2678,0,0,0,0,0,0,0,1582,47,0,48,32,0,6,37,0,0,17,832,10,0,1857,7,0,1307,421,123,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,10582,0,0,7556,0,0,0,0,4061,3214,0,0,0,0,0,0,0,1897,53,0,52,32,0,7,41,0,0,20,970,12,0,2170,8,0,1511,451,133,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,11905,0,0,8816,0,0,0,0,4730,3750,0,0,0,0,0,0,0,2212,60,0,56,32,0,8,45,0,0,23,1109,14,0,2483,9,0,1715,496,151,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,13228,0,0,10076,0,0,0,0,5399,4286,0,0,0,0,0,0,0,2527,67,0,60,32,0,9,49,0,0,26,1248,16,0,2796,10,0,1920,541,169,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,14550,0,0,11336,0,0,0,0,6068,4822,0,0,0,0,0,0,0,2842,77,0,68,32,0,10,53,0,0,29,1386,18,0,3109,11,0,2125,565,179,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,14550,0,0,11336,0,0,0,0,6068,4822,0,0,0,0,0,0,0,2842,77,0,68,32,0,10,53,0,0,30,1386,18,0,3109,11,0,2125,565,179,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,15871,0,0,11336,0,0,0,0,6094,4822,0,0,0,0,0,0,0,2843,83,0,75,33,0,10,58,0,0,30,1416,18,0,3144,13,0,2218,662,199,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,17187,0,0,11336,0,0,0,0,6106,4822,0,0,0,0,0,0,0,2843,86,0,78,33,0,10,63,0,0,30,1449,18,0,3185,14,0,2292,687,216,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,17197,0,0,11336,0,0,0,0,6126,4822,0,0,0,0,0,0,0,2843,93,0,82,33,0,11,67,0,0,36,1586,20,0,3496,15,0,2487,747,240,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,18520,0,0,12596,0,0,0,0,6795,5358,0,0,0,0,0,0,0,3158,100,0,86,33,0,12,71,0,0,39,1725,22,0,3809,16,0,2692,794,261,0,0,0,0,0,0,0,0,0,0,0,0,0
