CreateThread,CreateRemoteThread,NtResumeThread,NtGetContextThread,NtSetContextThread,CreateProcessInternalW,NtOpenProcess,Process32NextW,Process32FirstW,NtTerminateProcess
8,0,6,0,0,1,9,0,0,3
15,0,10,0,0,2,13,0,0,6
22,0,14,0,0,3,17,0,0,9
28,0,36,32,0,3,22,0,0,9
34,0,40,32,0,4,26,0,0,11
40,0,44,32,0,5,30,0,0,14
47,0,48,32,0,6,37,0,0,17
53,0,52,32,0,7,41,0,0,20
60,0,56,32,0,8,45,0,0,23
67,0,60,32,0,9,49,0,0,26
77,0,68,32,0,10,53,0,0,29
77,0,68,32,0,10,53,0,0,30
83,0,75,33,0,10,58,0,0,30
86,0,78,33,0,10,63,0,0,30
93,0,82,33,0,11,67,0,0,36
100,0,86,33,0,12,71,0,0,39
