CreateThread,CreateRemoteThread,NtResumeThread,NtGetContextThread,NtSetContextThread,CreateProcessInternalW,NtOpenProcess,Process32NextW,Process32FirstW,NtTerminateProcess
1,0,1,0,0,0,0,0,0,0
88,0,2,0,0,0,9530,0,0,0
89,0,3,2,1,1,9530,0,0,3
90,0,4,2,1,1,9530,0,0,3
91,0,5,2,1,1,9530,0,0,3
91,0,9,2,1,1,9530,0,0,3
92,0,10,2,1,1,9530,0,0,3
93,0,11,2,1,1,9530,0,0,3
94,0,12,2,1,1,9530,0,0,3
95,0,13,2,1,1,9530,0,0,3
96,0,14,2,1,1,9530,0,0,3
97,0,15,2,1,1,9530,0,0,3
98,0,16,2,1,1,9530,0,0,3
99,0,17,2,1,1,9530,0,0,3
100,0,18,2,1,1,9530,0,0,3
100,0,18,2,1,2,9530,0,0,9
103,0,20,3,2,3,9530,0,0,12
105,0,21,3,2,3,9530,0,0,12
106,0,22,3,2,3,9530,0,0,12
109,0,24,4,3,4,9530,0,0,15
109,0,24,4,3,5,9530,0,0,21
110,0,25,4,3,5,9530,0,0,21
125,0,32,4,3,9,9689,0,0,27
126,0,33,4,3,9,9689,0,0,27
127,0,34,4,3,9,9689,0,0,27
129,0,36,5,4,10,9689,0,0,30
130,0,37,5,4,10,9689,0,0,30
131,0,38,5,4,12,9689,0,0,36
132,0,39,5,4,12,9689,0,0,36
133,0,43,5,4,15,9693,68,2,43
151,0,51,5,4,19,9839,68,2,52
152,0,52,5,4,19,9839,68,2,52
153,0,53,5,4,19,9839,68,2,52
154,0,54,5,4,19,9839,68,2,52
155,0,55,5,4,19,9839,68,2,52
156,0,56,5,4,19,9839,68,2,52
175,0,65,6,5,24,9998,68,2,64
177,0,66,6,5,24,9998,68,2,64
182,0,67,6,5,25,10003,68,2,65
183,0,68,6,5,25,10003,68,2,65
184,0,69,6,5,25,10003,68,2,65
185,0,70,6,5,25,10003,68,2,65
186,0,71,6,5,25,10003,68,2,65
187,0,72,6,5,25,10003,68,2,65
188,0,73,6,5,25,10003,68,2,65
189,0,74,6,5,25,10003,68,2,65
190,0,75,6,5,25,10003,68,2,65
191,0,76,6,5,25,10003,68,2,65
192,0,77,6,5,25,10003,68,2,65
193,0,78,6,5,25,10003,68,2,65
194,0,79,6,5,25,10003,68,2,65
195,0,80,6,5,25,10003,68,2,65
196,0,81,6,5,25,10003,68,2,65
197,0,82,6,5,25,10003,68,2,65
226,0,90,6,5,29,10176,68,2,74
228,0,90,6,5,29,10191,68,2,74
229,0,91,6,5,29,10191,68,2,74
230,0,92,6,5,29,10191,68,2,74
231,0,93,6,5,29,10191,68,2,74
232,0,94,6,5,31,10191,68,2,80
233,0,95,6,5,31,10191,68,2,80
