RegCloseKey,RegCreateKeyExW,RegDeleteKeyW,RegQueryValueExW,RegSetValueExW,RegEnumKeyExA,RegOpenKeyExW,NtQueryValueKey,NtOpenKey
5,0,0,1,0,0,5,6,7
6,0,0,1,0,0,5,59,39
8,0,0,1,0,0,7,73,66
13,0,0,2,0,0,12,79,73
56,5,0,34,2,0,51,85,86
56,5,0,34,2,0,51,85,86
105,13,0,72,4,0,98,91,99
110,13,0,73,4,0,102,97,106
115,13,0,74,4,0,106,103,113
120,13,0,75,4,0,110,109,120
125,13,0,76,4,0,114,115,127
130,13,0,77,4,0,118,121,134
135,13,0,78,4,0,122,127,141
140,13,0,79,4,0,126,133,148
145,13,0,80,4,0,130,139,155
145,13,0,80,4,0,130,146,159
147,13,0,80,4,0,132,173,210
148,13,0,80,4,0,133,175,212
153,13,0,81,4,0,138,181,219
156,13,0,82,4,0,141,197,248
156,13,0,82,4,0,141,204,252
161,13,0,83,4,0,146,210,259
6803,153,0,4085,84,29,7244,44115,43472
6808,153,0,4086,84,29,7248,44121,43479
7057,167,0,4276,89,58,7404,44135,43504
7060,167,0,4277,89,58,7407,44151,43533
7065,167,0,4278,89,58,7411,44157,43540
7118,175,0,4317,91,58,7461,44184,43562
7123,175,0,4318,91,58,7465,44190,43569
8071,311,0,5242,95,58,8785,44217,43606
10115,447,0,7212,175,87,11162,45064,43786
10120,447,0,7213,175,87,11166,45070,43793
10125,447,0,7214,175,87,11170,45076,43800
10371,459,0,7385,179,119,11321,45090,43825
10376,459,0,7386,179,119,11325,45096,43832
10381,459,0,7387,179,119,11330,45102,43839
12498,597,0,9394,260,145,13789,45985,44052
12499,597,0,9394,260,145,13790,45987,44054
12648,597,0,9435,260,145,13832,46025,44078
12653,597,0,9436,260,145,13836,46031,44085
12885,611,0,9627,265,159,13988,46045,44110
13102,623,0,9787,269,191,14122,46067,44155
13107,623,0,9788,269,191,14126,46073,44162
13112,623,0,9789,269,191,14129,46073,44162
13117,623,0,9790,269,191,14133,46079,44169
13122,623,0,9791,269,191,14138,46085,44176
13171,631,0,9829,271,191,14185,46091,44189
13176,631,0,9830,271,191,14189,46097,44196
13181,631,0,9831,271,191,14192,46103,44203
13186,631,0,9832,271,191,14197,46109,44210
13191,631,0,9833,271,191,14200,46109,44210
13196,631,0,9834,271,191,14205,46115,44217
13201,631,0,9835,271,191,14209,46121,44224
13206,631,0,9836,271,191,14213,46127,44231
15707,795,0,14746,354,217,17148,47082,44478
16095,795,0,17016,354,217,17701,48251,45261
16100,795,0,17017,354,217,17705,48257,45268
16105,795,0,17018,354,217,17709,48263,45275
16110,795,0,17019,354,217,17714,48269,45282
16119,795,0,17021,354,217,17722,48296,45298
16124,795,0,17022,354,217,17726,48302,45305
16128,795,0,17023,354,217,17729,48304,45307
16128,795,0,17023,354,217,17729,48304,45307
16133,795,0,17024,354,217,17733,48310,45314
16138,795,0,17025,354,217,17737,48316,45321
16143,795,0,17026,354,217,17741,48322,45328
16148,795,0,17027,354,217,17745,48328,45335
16153,795,0,17028,354,217,17750,48334,45342
16155,795,0,17028,354,217,17752,48348,45369
16387,809,0,17218,359,231,17903,48362,45394
16392,809,0,17219,359,231,17908,48368,45401
16692,823,0,17429,364,263,24957,50343,49350
18975,960,0,19480,445,288,27582,51235,49556
18977,960,0,19480,445,288,27584,51249,49583
18982,960,0,19481,445,288,27588,51255,49590
18990,960,0,19485,445,288,27596,51269,49617
18995,960,0,19486,445,288,27600,51275,49624
19000,960,0,19487,445,288,27605,51281,49631
19005,960,0,19488,445,288,27609,51287,49638
19010,960,0,19489,445,288,27613,51293,49645
19012,960,0,19489,445,288,27615,51307,49672
19019,960,0,19490,445,288,27619,51313,49679
19892,976,0,19797,447,624,28053,51551,50061
19897,976,0,19798,447,624,28057,51557,50068
19902,976,0,19799,447,624,28061,51563,50075
19907,976,0,19800,447,624,28065,51569,50082
19912,976,0,19801,447,624,28070,51575,50089
19917,976,0,19802,447,624,28074,51581,50096
19919,976,0,19802,447,624,28076,51606,50146
22087,1115,0,22010,528,650,30621,52623,50401
22092,1115,0,22011,528,650,30625,52629,50408
24193,1252,0,24023,609,676,33041,53487,50590
24889,1300,0,24689,654,679,34134,53498,50649
24889,1300,0,24689,654,679,34135,53501,50652
24890,1300,0,24689,654,679,34137,53503,50654
25122,1314,0,24879,659,693,34288,53517,50679
25127,1314,0,24880,659,693,34293,53523,50686
25132,1314,0,24881,659,693,34297,53529,50693
25137,1314,0,24882,659,693,34301,53535,50700
25137,1314,0,24882,659,693,34301,53542,50704
25142,1314,0,24883,659,693,34305,53548,50711
25144,1314,0,24883,659,693,34307,53563,50739
25149,1314,0,24884,659,693,34312,53569,50746
25154,1314,0,24885,659,693,34317,53575,50753
27401,1450,0,26956,739,722,36892,54449,50940
27406,1450,0,26957,739,722,36896,54455,50947
27411,1450,0,26958,739,722,36900,54461,50954
27418,1450,0,26959,739,722,36904,54467,50961
27423,1450,0,26960,739,722,36908,54473,50968
27428,1450,0,26961,739,722,36912,54479,50975
27433,1450,0,26962,739,722,36916,54485,50982
27438,1450,0,26963,739,722,36921,54491,50989
27687,1464,0,27153,744,751,37077,54505,51014
28132,1464,0,29792,744,751,37704,54531,51078
28137,1464,0,29793,744,751,37708,54537,51085
28139,1464,0,29793,744,751,37710,54551,51112
