socket,InternetOpen,shutdown,sendto,connect,bind,listen,accept,recv,send,InternetOpenUrl,InternetReadFile,InternetWriteFile
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,6,0,0,0,0,0,0,0
0,0,2,0,0,6,0,0,0,0,0,0,0
0,0,2,0,0,6,0,0,0,0,0,0,0
0,0,2,0,0,6,0,0,0,0,0,0,0
0,0,2,0,0,6,0,0,0,0,0,0,0
3,0,2,6886,0,6,0,0,0,0,0,0,0
3,0,2,6886,0,6,0,0,0,0,0,0,0
3,0,2,6886,0,6,0,0,0,0,0,0,0
3,0,2,6886,0,6,0,0,0,0,0,0,0
3,0,3,6886,0,10,0,0,0,0,0,0,0
3,0,3,6886,0,10,0,0,0,0,0,0,0
3,0,3,6886,0,10,0,0,0,0,0,0,0
3,0,3,6886,0,10,0,0,0,0,0,0,0
3,0,3,6886,0,10,0,0,0,0,0,0,0
3,0,3,6886,0,10,0,0,0,0,0,0,0
3,0,3,6886,0,10,0,0,0,0,0,0,0
3,0,5,6886,0,16,0,0,0,0,0,0,0
3,0,5,6886,0,19,0,0,0,0,0,0,0
3,0,5,6886,0,19,0,0,0,0,0,0,0
3,0,5,6886,0,19,0,0,0,0,0,0,0
3,0,5,6886,0,19,0,0,0,0,0,0,0
3,0,5,6886,0,19,0,0,0,0,0,0,0
3,0,5,6886,0,19,0,0,0,0,0,0,0
3,0,5,6886,0,19,0,0,0,0,0,0,0
3,0,5,6886,0,19,0,0,0,0,0,0,0
3,0,5,6886,0,19,0,0,0,0,0,0,0
3,0,5,6886,0,19,0,0,0,0,0,0,0
3,0,5,6886,0,19,0,0,0,0,0,0,0
3,0,5,6886,0,19,0,0,0,0,0,0,0
3,0,5,6886,0,19,0,0,0,0,0,0,0
4,0,5,6886,0,20,0,3,0,0,0,0,0
4,0,5,6886,0,20,0,3,0,0,0,0,0
4,0,5,6886,0,20,0,3,0,0,0,0,0
4,0,5,6886,0,20,0,3,0,0,0,0,0
4,0,5,6886,0,20,0,3,0,0,0,0,0
4,0,5,6886,0,20,0,3,0,0,0,0,0
4,0,5,6886,0,20,0,3,0,0,0,0,0
4,0,5,6886,0,20,0,3,0,0,0,0,0
4,0,5,6886,0,20,0,3,0,0,0,0,0
4,0,5,6886,0,20,0,3,0,0,0,0,0
4,0,5,6886,0,20,0,3,0,0,0,0,0
4,0,5,6886,0,20,0,3,0,0,0,0,0
4,0,5,6886,0,20,0,3,0,0,0,0,0
4,0,5,6886,0,20,0,3,0,0,0,0,0
4,0,5,6886,0,20,0,3,0,0,0,0,0
4,0,7,6886,0,26,0,3,0,0,0,0,0
4,0,7,6886,0,26,0,3,0,0,0,0,0
4,0,12,6886,0,33,0,3,0,0,0,981,0
4,0,12,6886,0,33,0,3,0,0,0,981,0
4,0,12,6886,0,33,0,3,0,0,0,981,0
4,0,12,6886,0,33,0,3,0,0,0,981,0
4,0,12,6886,0,33,0,3,0,0,0,981,0
4,0,12,6886,0,33,0,3,0,0,0,981,0
4,0,12,6886,0,33,0,3,0,0,0,981,0
4,0,12,6886,0,33,0,3,0,0,0,981,0
4,0,12,6886,0,33,0,3,0,0,0,981,0
4,0,12,6886,0,33,0,3,0,0,0,981,0
4,0,12,6886,0,33,0,3,0,0,0,981,0
4,0,12,6886,0,33,0,3,0,0,0,981,0
4,0,12,6886,0,33,0,3,0,0,0,981,0
4,0,12,6886,0,33,0,3,0,0,0,981,0
4,0,12,6886,0,33,0,3,0,0,0,981,0
4,0,12,6886,0,33,0,3,0,0,0,981,0
4,0,12,6886,0,33,0,3,0,0,0,981,0
4,0,12,6886,0,33,0,3,0,0,0,981,0
4,0,12,6886,0,33,0,3,0,0,0,981,0
4,0,12,6886,0,33,0,3,0,0,0,981,0
4,0,12,6886,0,33,0,3,0,0,0,981,0
4,0,12,6886,0,33,0,3,0,0,0,981,0
4,0,12,6886,0,33,0,3,0,0,0,981,0
4,0,12,6886,0,33,0,3,0,0,0,981,0
4,0,14,6886,0,39,0,3,0,0,0,981,0
4,0,14,6886,0,39,0,3,0,0,0,981,0
4,0,14,6886,0,39,0,3,0,0,0,981,0
4,0,14,6886,0,39,0,3,0,0,0,981,0
4,0,14,6886,0,39,0,3,0,0,0,981,0
4,0,14,6886,0,39,0,3,0,0,0,981,0
4,0,14,6886,0,39,0,3,0,0,0,981,0
4,0,14,6886,0,39,0,3,0,0,0,981,0
4,0,14,6886,0,39,0,3,0,0,0,981,0
4,0,14,6886,0,39,0,3,0,0,0,981,0
