SetFilePointer,SetFilePointerEx,GetFileSize,GetFileSizeEx,GetFileType,NtReadFile,NtWriteFile,CryptAcquireContextW,CreateThread,NtResumeThread,CreateProcessInternalW,NtOpenProcess,Process32NextW,Process32FirstW,NtTerminateProcess,RegCloseKey,RegCreateKeyExW,RegDeleteKeyW,RegQueryValueExW,RegSetValueExW,RegEnumKeyExA,RegOpenKeyExW,NtQueryValueKey,NtOpenKey,socket,shutdown,connect,bind,recv,send,InternetReadFile
1,0,0,17,0,19,1,0,0,0,4,46,21812,572,3,1245,31,1,1786,8,0,1334,1332,47,0,0,0,0,0,0,0
96609,8,4065,119,17,76475,145,2,50,15,12,141,24687,642,12,46533,305,3,25412,153,45,39203,3312,16481,4,0,4,4,2,2,1
96822,8,4150,157,17,76813,202,2,62,19,19,320,24687,642,24,48140,309,4,27151,153,45,40514,6719,16644,12,7,11,4,2,2,1
96824,8,4150,168,20,76826,208,2,62,19,20,359,24687,642,30,48369,309,4,27942,153,45,40785,6761,16670,12,7,11,4,2,2,1
96826,8,4150,168,20,76828,210,2,62,19,21,360,24687,642,36,48370,309,4,27942,153,45,40785,6765,16674,12,7,11,4,2,2,1
96828,8,4150,168,20,76830,212,2,62,19,22,361,24687,642,42,48371,309,4,27942,153,45,40785,6769,16678,12,7,11,4,2,2,1
97579,134,4277,247,32,77787,984,3,101,38,37,556,24687,642,63,53072,454,5,33703,243,155,45570,10090,17196,56,34,54,28,442,101,44
97628,134,4279,264,32,77848,985,3,103,38,41,607,55780,1453,66,54328,486,7,35493,252,155,46908,11487,17284,56,34,54,28,442,101,44
97677,134,4281,283,32,77911,986,3,104,38,45,654,88022,2287,69,55585,518,8,37283,261,155,48246,12833,17361,56,34,54,28,442,101,44
97726,134,4283,300,32,77972,987,3,105,38,49,704,116144,3020,72,56847,550,10,39073,270,155,49611,14051,17449,56,34,54,28,442,101,44
97728,134,4283,300,32,77974,989,3,105,38,50,704,116144,3020,78,56848,550,10,39073,270,155,49611,14055,17453,56,34,54,28,442,101,44
98408,260,4395,366,44,78840,1766,4,136,53,62,791,116471,3028,90,61423,699,11,43256,362,270,54075,15388,17874,101,67,99,44,929,208,87
98831,260,4537,411,44,79425,1807,4,163,65,77,1188,116471,3028,132,63315,742,13,45077,372,270,55536,24514,18156,111,76,108,44,929,208,87
99351,386,4635,477,56,80130,2586,5,193,80,89,1291,116471,3028,144,67659,898,14,50536,466,381,59908,24744,18570,143,95,140,62,1404,310,130
99425,386,4767,511,59,80265,2592,5,198,82,92,1499,116471,3028,156,68916,930,16,52256,474,381,61257,29066,18739,143,95,140,62,1404,310,130
99474,386,4783,534,59,80341,2593,5,200,83,97,1582,145710,3773,162,70115,933,17,54051,475,381,62561,30938,18836,143,95,140,62,1404,310,130
99476,386,4783,534,59,80343,2595,5,200,83,98,1583,145710,3773,168,70116,933,17,54051,475,381,62594,30942,18840,143,95,140,62,1404,310,130
99477,386,4784,534,59,80362,2612,5,200,83,99,1583,145745,3774,174,70141,933,17,54051,475,405,62594,30946,18844,143,95,140,62,1404,310,130
99478,386,4786,534,59,80382,2629,5,200,83,100,1583,145779,3775,180,70166,933,17,54051,475,429,62594,30950,18848,143,95,140,62,1404,310,130
99609,386,4788,549,59,80570,2672,5,203,83,103,1625,145779,3775,180,70737,933,17,54844,475,429,62870,31084,18877,149,101,146,62,1404,310,130
