CreateThread,CreateRemoteThread,NtResumeThread,NtGetContextThread,NtSetContextThread,CreateProcessInternalW,NtOpenProcess,Process32NextW,Process32FirstW,NtTerminateProcess
0,0,0,0,0,4,46,21812,572,3
50,0,15,0,0,12,141,24687,642,12
62,0,19,0,0,19,320,24687,642,24
62,0,19,0,0,20,359,24687,642,30
62,0,19,0,0,21,360,24687,642,36
62,0,19,0,0,22,361,24687,642,42
101,0,38,0,0,37,556,24687,642,63
103,0,38,0,0,41,607,55780,1453,66
104,0,38,0,0,45,654,88022,2287,69
105,0,38,0,0,49,704,116144,3020,72
105,0,38,0,0,50,704,116144,3020,78
136,0,53,0,0,62,791,116471,3028,90
163,0,65,0,0,77,1188,116471,3028,132
193,0,80,0,0,89,1291,116471,3028,144
198,0,82,0,0,92,1499,116471,3028,156
200,0,83,0,0,97,1582,145710,3773,162
200,0,83,0,0,98,1583,145710,3773,168
200,0,83,0,0,99,1583,145745,3774,174
200,0,83,0,0,100,1583,145779,3775,180
203,0,83,0,0,103,1625,145779,3775,180
203,0,83,0,0,104,1625,145814,3776,186
204,0,83,0,0,108,1671,173626,4505,189
207,0,83,0,0,111,1709,173626,4505,195
225,0,91,0,0,121,1981,173626,4505,219
241,0,98,0,0,130,2184,173626,4505,240
245,0,98,0,0,133,2221,174936,4560,249
246,0,98,0,0,137,2271,201062,5234,252
247,0,98,0,0,141,2321,230194,5988,255
250,0,98,0,0,144,2363,230194,5988,255
251,0,98,0,0,148,2390,256534,6677,258
251,0,98,0,0,149,2390,256569,6678,264
251,0,98,0,0,150,2390,256603,6679,270
251,0,98,0,0,151,2430,256603,6679,276
254,0,99,0,0,156,2513,256603,6682,282
285,0,114,0,0,168,2608,256922,6690,294
316,0,129,0,0,180,2697,256922,6690,306
363,0,142,0,0,195,3053,256922,6690,345
366,0,142,0,0,198,3095,256922,6690,345
366,0,142,0,0,199,3096,256922,6690,351
379,0,148,0,0,206,3244,256922,6690,375
394,0,154,0,0,215,34196,256922,6690,399
425,0,169,0,0,227,34291,257251,6698,411
425,0,169,0,0,228,34292,257251,6698,417
425,0,169,0,0,229,34293,257251,6698,423
425,0,169,0,0,230,34294,257251,6698,429
428,0,170,0,0,232,34378,257251,6698,438
428,0,170,0,0,233,34378,257286,6699,444
445,0,178,0,0,242,34644,257286,6699,474
445,0,178,0,0,243,34645,257286,6699,480
445,0,178,0,0,244,34646,257286,6699,486
477,0,194,0,0,256,34741,257286,6699,498
508,0,209,0,0,268,34823,257610,6707,510
508,0,209,0,0,269,34823,257645,6708,516
508,0,209,0,0,270,34823,257680,6709,522
524,0,216,0,0,278,35024,257680,6709,549
527,0,216,0,0,281,35066,257680,6709,549
527,0,216,0,0,282,35066,257680,6709,549
527,0,216,0,0,283,35066,257680,6709,555
557,0,231,0,0,295,35152,257680,6709,567
557,0,231,0,0,296,35152,257680,6709,573
557,0,231,0,0,297,35153,257680,6709,579
557,0,231,0,0,298,35153,257715,6710,585
557,0,231,0,0,299,35154,257715,6710,591
557,0,231,0,0,300,35155,257715,6710,597
557,0,232,0,0,307,35156,257785,6712,597
564,0,235,0,0,311,35245,257785,6712,612
565,0,235,0,0,312,35285,257785,6712,618
568,0,235,0,0,315,35327,257785,6712,618
598,0,250,0,0,327,35410,258101,6720,630
598,0,250,0,0,328,35411,258101,6720,636
599,0,250,0,0,329,35455,258101,6720,642
599,0,250,0,0,330,35455,258101,6720,648
599,0,250,0,0,331,35456,258101,6720,654
599,0,250,0,0,332,35456,258138,6721,660
602,0,251,0,0,341,35506,258138,6721,669
602,0,251,0,0,345,35534,286452,7450,672
609,0,253,0,0,350,35661,286452,7450,684
650,0,273,0,0,367,35862,286452,7450,711
650,0,273,0,0,368,35863,286452,7450,717
656,0,274,0,0,372,35945,286452,7450,720
