RegCloseKey,RegCreateKeyExW,RegDeleteKeyW,RegQueryValueExW,RegSetValueExW,RegEnumKeyExA,RegOpenKeyExW,NtQueryValueKey,NtOpenKey
1245,31,1,1786,8,0,1334,1332,47
46533,305,3,25412,153,45,39203,3312,16481
48140,309,4,27151,153,45,40514,6719,16644
48369,309,4,27942,153,45,40785,6761,16670
48370,309,4,27942,153,45,40785,6765,16674
48371,309,4,27942,153,45,40785,6769,16678
53072,454,5,33703,243,155,45570,10090,17196
54328,486,7,35493,252,155,46908,11487,17284
55585,518,8,37283,261,155,48246,12833,17361
56847,550,10,39073,270,155,49611,14051,17449
56848,550,10,39073,270,155,49611,14055,17453
61423,699,11,43256,362,270,54075,15388,17874
63315,742,13,45077,372,270,55536,24514,18156
67659,898,14,50536,466,381,59908,24744,18570
68916,930,16,52256,474,381,61257,29066,18739
70115,933,17,54051,475,381,62561,30938,18836
70116,933,17,54051,475,381,62594,30942,18840
70141,933,17,54051,475,405,62594,30946,18844
70166,933,17,54051,475,429,62594,30950,18848
70737,933,17,54844,475,429,62870,31084,18877
70762,933,17,54844,475,453,62870,31088,18881
72007,965,18,56634,484,453,64208,32434,18957
73351,965,18,58140,484,453,65225,32500,18988
74626,998,20,59915,488,453,66601,37963,19206
75831,1003,22,61679,488,453,67913,42188,19397
76075,1004,22,62471,489,453,68185,42205,19424
77335,1035,24,64261,497,453,69521,44096,19503
78597,1067,26,66051,506,453,70886,45478,19591
79279,1067,27,66843,506,453,71157,46624,19653
80399,1099,29,68015,515,453,72331,48006,19728
80424,1099,29,68015,515,477,72331,48010,19732
80453,1099,29,68016,515,501,72332,48014,19736
80753,1099,29,68888,515,501,72687,48086,19762
81954,1102,30,70685,516,501,73993,49412,19863
85778,1247,31,75609,607,611,77819,50724,20297
90503,1434,32,78939,709,731,81546,52802,20730
91879,1477,33,80771,717,731,83023,60635,21031
93482,1477,34,82460,717,731,84233,61573,21072
93483,1477,34,82460,717,731,84233,61577,21076
94706,1492,35,84214,719,731,85555,65176,21216
96369,1523,36,85969,723,731,86900,69906,21388
101855,1665,37,91845,813,842,91776,71201,21817
101856,1665,37,91845,813,842,91776,71205,21821
101858,1665,37,91845,813,842,91776,71209,21826
101859,1665,37,91845,813,842,91809,71213,21830
103015,1666,37,93548,813,842,93062,73086,21906
103040,1666,37,93548,813,866,93062,73090,21910
104364,1699,39,95329,817,866,94481,78547,22119
104365,1699,39,95329,817,866,94481,78551,22123
104366,1699,39,95329,817,866,94481,78555,22127
110126,1847,40,101258,913,981,99402,79316,22538
113818,1990,40,104523,1002,1091,102932,79471,22922
113844,1990,40,104524,1002,1115,102932,79475,22926
113872,1990,40,104525,1002,1139,102933,79479,22930
115196,2028,42,106294,1012,1139,104342,84357,23122
116790,2028,43,107983,1012,1139,105552,85508,23184
116790,2028,43,107983,1012,1139,105552,85508,23184
116793,2028,43,107983,1012,1139,105552,85512,23188
120450,2179,43,111376,1101,1254,109140,85665,23575
120451,2179,43,111376,1101,1254,109140,85669,23579
120452,2179,43,111376,1101,1254,109140,85673,23583
120477,2179,43,111376,1101,1278,109140,85677,23587
120478,2179,43,111376,1101,1278,109140,85681,23591
120479,2179,43,111376,1101,1278,109140,85685,23595
120507,2179,43,111376,1101,1278,109140,85724,23615
121678,2181,44,113099,1101,1278,110409,89250,24385
122038,2181,44,114032,1101,1278,110821,89317,24413
123669,2210,45,115728,1109,1278,112104,90612,24477
129270,2362,45,119907,1201,1393,116658,91344,24863
129271,2362,45,119907,1201,1393,116658,91348,24867
130378,2362,45,121596,1201,1393,117871,92468,24893
130379,2362,45,121596,1201,1393,117871,92472,24897
130381,2362,45,121596,1201,1393,117875,92476,24902
130406,2362,45,121600,1201,1417,117875,92480,24906
131658,2391,48,123298,1209,1417,119179,93811,24979
131941,2393,48,124181,1210,1417,119498,93822,25009
133591,2395,49,125894,1210,1417,120767,96690,25146
139284,2581,50,131846,1308,1537,125783,101177,25686
139285,2581,50,131846,1308,1537,125783,101181,25690
140996,2582,51,133549,1308,1537,127037,103110,25753
142757,2616,52,135321,1318,1537,128412,107849,25942
142758,2616,52,135321,1318,1537,128412,107853,25946
143949,2619,53,137054,1318,1537,129703,111749,26096
145165,2641,55,138788,1322,1537,131022,115510,26253
146562,2683,55,140597,1332,1537,132511,127076,26587
146563,2683,55,140597,1332,1537,132511,127080,26591
146589,2683,55,140597,1332,1561,132511,127084,26595
147825,2714,56,142384,1340,1561,133846,128940,26662
147829,2714,56,142384,1340,1561,133846,128944,26666
152701,2893,56,148333,1439,1671,138827,134404,27258
153904,2896,57,150076,1439,1671,140116,138252,27403
153905,2896,57,150076,1439,1671,140116,138256,27407
155085,2899,57,151799,1439,1671,141401,140851,27516
156306,2900,57,153493,1440,1671,142636,141981,27569
161970,3080,57,159452,1539,1786,147720,148897,28204
161971,3080,57,159452,1539,1786,147720,148901,28208
163285,3117,58,161206,1549,1786,149124,156362,28424
163514,3117,58,161997,1549,1786,149396,156384,28444
163515,3117,58,161997,1549,1786,149396,156388,28448
167405,3263,59,166926,1639,1901,153214,157692,28879
181963,3432,60,176086,1734,1922,165875,159101,33548
182232,3432,60,176919,1734,1922,166190,159154,33571
187386,3615,60,182761,1834,2048,171126,160760,33975
187387,3615,60,182761,1834,2048,171126,160764,33979
191615,3792,61,186850,1933,2163,175607,165877,34502
192902,3795,62,188577,1934,2163,176893,168321,34623
