CreateThread,CreateRemoteThread,NtResumeThread,NtGetContextThread,NtSetContextThread,CreateProcessInternalW,NtOpenProcess,Process32NextW,Process32FirstW,NtTerminateProcess
2,0,0,0,0,2,754,34,1,9
8,0,3,2,2,7,16422,69,2,24
31,0,16,4,4,23,31293,102,3,65
51,0,31,4,4,24,31294,102,3,68
59,0,32,4,4,27,42120,140,4,74
67,0,33,4,4,30,56982,176,5,80
75,0,34,4,4,33,67244,214,6,86
78,0,36,4,4,39,67250,214,6,95
85,0,37,4,4,42,79098,253,7,104
85,0,37,5,5,43,79098,253,7,104
85,0,38,6,6,46,79099,253,7,113
173,0,98,6,6,61,98338,293,8,127
180,0,99,6,6,71,125292,324,9,151
205,0,109,6,6,80,151410,363,10,167
228,0,121,8,8,91,169899,401,11,194
228,0,121,8,8,91,169899,401,11,194
234,0,128,8,8,94,169900,401,11,201
236,0,130,8,8,96,169900,401,11,205
242,0,137,8,8,99,169901,401,11,212
242,0,139,9,9,101,169901,435,12,219
328,0,188,11,11,115,233923,474,13,237
336,0,189,11,11,118,252670,512,14,243
357,0,201,13,13,129,267877,550,15,270
364,0,203,13,13,135,292774,582,16,279
374,0,206,13,13,142,325171,620,17,288
399,0,216,13,13,173,351338,655,18,303
406,0,217,13,13,176,361151,694,19,312
412,0,220,15,15,181,363674,730,20,327
436,0,230,15,15,190,388959,769,21,341
539,0,287,17,17,206,427419,808,22,359
544,0,290,19,19,211,437195,828,23,374
544,0,291,20,20,214,437196,828,23,383
544,0,292,21,21,217,437197,828,23,392
550,0,295,23,23,222,439257,865,24,407
550,0,296,24,24,225,439258,865,24,416
550,0,296,24,24,225,439259,865,24,419
558,0,297,24,24,228,459729,903,25,425
564,0,298,24,24,231,473633,934,26,436
565,0,300,24,24,234,473634,934,26,443
571,0,303,26,26,239,486535,969,27,458
576,0,304,26,26,242,496694,1003,28,467
597,0,314,26,26,253,512808,1034,29,488
605,0,315,26,26,256,536862,1072,30,494
612,0,316,26,26,259,543588,1104,31,503
635,0,325,26,26,267,578332,1139,32,517
642,0,326,26,26,270,587780,1173,33,526
650,0,327,26,26,273,612768,1208,34,532
658,0,328,26,26,278,620533,1239,35,538
665,0,330,26,26,283,654327,1274,36,544
672,0,331,26,26,286,672481,1308,37,550
679,0,332,26,26,289,684491,1343,38,556
679,0,333,27,27,292,684492,1343,38,565
680,0,333,27,27,294,684492,1343,38,568
687,0,335,27,27,300,699489,1375,39,577
695,0,336,27,27,305,707097,1406,40,583
720,0,346,27,27,314,732217,1442,41,597
742,0,358,29,29,325,767752,1474,42,624
750,0,359,29,29,328,793135,1509,43,630
772,0,369,29,29,337,826015,1542,44,650
780,0,370,29,29,340,847780,1575,45,656
787,0,373,31,31,350,872917,1613,46,686
787,0,373,31,31,357,872919,1613,46,707
793,0,376,33,33,362,892201,1655,47,722
801,0,377,33,33,365,902807,1692,48,728
806,0,380,35,35,370,911667,1731,49,743
