RegCloseKey,RegCreateKeyExW,RegDeleteKeyW,RegQueryValueExW,RegSetValueExW,RegEnumKeyExA,RegOpenKeyExW,NtQueryValueKey,NtOpenKey
170,0,0,535,0,0,268,16,25
490,13,0,1224,9,0,749,38,63
4294,162,0,5190,100,55,5130,2302,725
4425,170,0,5221,107,55,5280,3403,789
4764,186,0,5924,118,55,5779,3419,820
5109,202,0,6635,129,55,6286,3441,859
5447,214,0,7342,139,55,6788,3461,894
5733,217,0,8015,144,55,7237,3489,934
6149,230,0,8748,155,61,7764,3513,978
6149,230,0,8748,155,61,7764,3513,978
6181,230,0,8770,155,61,7782,3523,989
30319,1858,0,29528,655,297,34741,5956,2099
30640,1870,0,30194,665,297,35219,6215,2536
34627,2020,0,35971,753,322,40090,8261,2822
38956,2163,0,41784,841,351,45288,9891,3229
38956,2163,0,41784,841,351,45288,9891,3229
39081,2171,0,41815,848,351,45419,11282,3301
39119,2171,0,41838,848,351,45438,11289,3309
39246,2179,0,41869,855,351,45571,12937,3376
39358,2179,0,41884,855,382,45595,12946,3386
55473,3276,0,59501,1224,597,63256,14821,4271
55809,3288,0,60208,1234,597,63758,14841,4306
59927,3432,0,65836,1318,632,68616,16350,4619
60265,3444,0,66546,1328,632,69111,16378,4665
61139,3457,0,67725,1339,646,70329,16445,4781
65209,3602,0,73570,1427,685,75226,17849,5100
65608,3614,0,74272,1434,691,75666,17874,5145
65932,3632,0,74959,1445,691,76144,17924,5229
69879,3782,0,80703,1534,717,80958,19954,5512
88591,5056,0,99917,1965,942,101273,21386,6566
88997,5062,0,100631,1968,956,101720,21417,6619
89033,5062,0,100657,1968,956,101744,21427,6630
89069,5062,0,100683,1968,956,101768,21437,6641
89392,5076,0,101372,1978,956,102249,21456,6676
89424,5076,0,101394,1978,956,102267,21466,6687
89429,5076,0,101395,1978,956,102270,21467,6688
89832,5088,0,102159,1988,956,102887,21490,6737
90157,5098,0,102847,1996,956,103374,21510,6774
90158,5098,0,102847,1996,956,103376,21521,7738
90483,5112,0,103540,2006,956,103863,21543,7776
90755,5114,0,104188,2012,956,104304,21563,7806
94527,5254,0,109798,2100,985,108926,23165,8110
94874,5270,0,110509,2111,985,109437,23193,8155
95364,5284,0,111309,2122,991,110012,23217,8199
98928,5429,0,115173,2211,1013,114253,25214,8442
99342,5443,0,115904,2222,1019,114778,25237,8485
99687,5459,0,116615,2233,1019,115285,25259,8524
100022,5475,0,117320,2244,1019,115788,25283,8563
100685,5490,0,118336,2254,1019,116838,25338,8661
101136,5504,0,119137,2263,1033,117408,25366,8708
101467,5514,0,119827,2271,1033,117912,25386,8743
101499,5514,0,119849,2271,1033,117930,25396,8754
101537,5514,0,119860,2271,1033,117949,25399,8757
101876,5526,0,120570,2281,1033,118444,25427,8803
102345,5540,0,121363,2292,1036,119022,25452,8847
105881,5688,0,126757,2381,1054,123412,25611,9086
108757,5832,0,131416,2468,1065,127114,26407,9373
109104,5848,0,132127,2479,1065,127625,26435,9418
111979,5984,0,136925,2564,1076,131341,27197,9699
112310,6000,0,137626,2575,1076,131838,27213,9730
112639,6015,0,138292,2587,1076,132317,27474,10169
112680,6017,0,138317,2587,1076,132341,27716,10577
114130,6024,0,141696,2594,1090,134014,27830,10658
114465,6040,0,142401,2605,1090,134515,27850,10693
114882,6046,0,143110,2608,1096,134967,27881,10746
