FindNextFile,FindFirstFile,FindFirstFileEx,SetFilePointer,SetFilePointerEx,GetFileSize,GetFileSizeEx,SetFileAttributes,GetFileType,CopyFileEx,CopyFile,DeleteFile,EncryptFile,NtReadFile,NtWriteFile,GetFileAttributes,GetFileAttributesEx,CryptDeriveKey,CryptDecodeObject,CryptGenKey,CryptImportPublicKeyInfo,CryptAcquireContext,CryptAcquireContextW,RegCloseKey,RegCreateKeyExW,RegDeleteKeyW,RegQueryValueExW,RegSetValueExW,RegEnumKeyExA,RegOpenKeyExW,NtQueryValueKey,NtOpenKey,socket,InternetOpen,shutdown,sendto,connect,bind,listen,accept,recv,send,InternetOpenUrl,InternetReadFile,InternetWriteFile,CreateThread,CreateRemoteThread,NtResumeThread,NtGetContextThread,NtSetContextThread,CreateProcessInternalW,NtOpenProcess,Process32NextW,Process32FirstW,NtTerminateProcess,test
0,0,0,9,1,2,12,0,4,0,0,0,0,98,9,0,0,0,0,0,0,0,0,369,0,0,2244,0,0,483,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,14,0,0,3,Cerber
0,0,0,89,8175,9,1657,0,23,0,0,0,0,5105,8303,0,0,0,0,0,0,0,4903,841,5,0,4601,2,6,1112,45,72,3,0,3,3072,0,0,0,0,0,0,0,0,0,7,0,2,2,2,4,28,66,2,9,Cerber
0,0,0,153,9596,12,1940,0,42,0,0,0,0,5740,9776,0,0,0,0,0,0,0,5755,866,5,0,4646,2,12,1145,69,83,5,0,5,5248,0,0,0,0,0,0,0,0,0,14,0,2,2,2,6,28,1564,46,12,Cerber
0,0,0,155,9596,13,1959,0,48,0,0,0,0,5764,9780,0,0,0,0,0,0,0,5756,1995,16,0,6309,9,18,2401,720,116,5,0,5,5248,0,0,0,0,0,0,0,0,0,15,0,2,2,2,9,72,1564,46,20,Cerber
0,0,0,587,9712,29,1982,0,69,0,0,0,0,30294,9969,0,0,0,0,0,0,0,5763,4282,68,0,7998,22,419,4794,1015,548,14,0,10,7424,6,10,0,0,62,25,0,8,0,34,0,11,2,2,16,120,1564,46,37,Cerber
0,0,0,1185,9855,53,2021,0,90,0,0,0,0,55109,10203,0,0,0,0,0,0,0,5768,6123,114,0,11402,35,484,7037,1178,748,22,0,13,8576,12,19,0,0,137,50,0,16,0,50,0,19,3,3,21,146,1626,48,50,Cerber
0,0,0,1237,9855,85,2056,0,101,0,0,0,0,55237,10208,0,0,0,0,0,0,0,5769,7555,134,2,13395,46,490,8708,4459,913,22,0,13,8576,12,19,0,0,137,50,0,16,0,62,0,23,3,3,30,265,1626,48,72,Cerber
0,0,0,1261,9856,86,2068,0,101,0,0,0,0,55376,10249,0,0,0,0,0,0,0,5769,7917,134,2,15652,46,490,9226,4470,951,22,0,13,8576,12,19,0,0,137,50,0,16,0,62,0,23,3,3,30,279,1626,48,72,Cerber
0,0,0,1334,17522,91,3612,0,120,0,0,0,0,58678,18028,0,0,0,0,0,0,0,10368,8309,134,2,17941,46,496,9741,4504,992,24,0,15,10624,12,19,0,0,137,50,0,16,0,69,0,24,4,4,33,293,1692,50,78,Cerber
0,0,0,1804,17642,124,3647,0,141,0,0,0,0,83395,18218,0,0,0,0,0,0,0,10374,9422,163,2,20748,58,551,11192,5232,1200,32,0,20,12800,18,28,0,0,212,75,0,24,0,84,0,30,5,5,38,318,1756,52,93,Cerber
